XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
349.5000,2865.59,2782.16,2731.02,2695.19,2652.75,2609.77,2574.92,2531.31,2495.86,2459.43,2421.59
350.0000,2876.6,2793.82,2742.03,2706.73,2663.74,2620.04,2585.41,2541.66,2507.06,2469.57,2431.97
350.5000,2885.44,2802.17,2750.27,2714.62,2672.26,2628.71,2593.02,2549.9,2514.99,2476.75,2439.23
351.0000,2894.52,2810.12,2758.37,2723.26,2680.43,2637.08,2601.36,2557.32,2522.71,2484.89,2447.27
351.5000,2901.85,2817.48,2765.51,2730.6,2687.21,2643.5,2608.53,2563.39,2529.74,2491.46,2453.39
352.0000,2909.27,2824.05,2772.17,2738.01,2694.46,2650.69,2615.2,2569.56,2536.53,2498.66,2460.53
352.5000,2915.07,2830.09,2777.53,2743.22,2699.3,2656.71,2621.06,2574.65,2541.72,2503.84,2465.62
353.0000,2920.81,2834.55,2782.49,2749.68,2705.15,2662.99,2626.94,2579.56,2547.38,2509,2470.33
353.5000,2925.58,2838.65,2786.6,2754.25,2709.64,2666.82,2630.39,2583.98,2551.04,2513.01,2474.71
354.0000,2931.21,2842.46,2791.01,2759.16,2713.69,2671.1,2634.62,2588.03,2555.96,2517.38,2478.33
354.5000,2935.71,2845.78,2793.89,2762.8,2716.7,2673.86,2639.15,2591.42,2559.53,2519.98,2481.97
355.0000,2937.86,2848.52,2796.91,2764.62,2718.91,2676.21,2640.89,2593.34,2561.08,2521.96,2484.17
355.5000,2939.97,2850.86,2798.33,2766.35,2721.59,2678.7,2642.58,2595.92,2562.97,2523.59,2486.33
356.0000,2941.12,2852.23,2799.38,2767.35,2722.62,2680.27,2643.75,2597.31,2563.48,2524.25,2488.08
356.5000,2941.78,2852.79,2800.4,2767.77,2723.55,2681.29,2645.16,2597.95,2564.64,2525.58,2489.38
357.0000,2941.79,2853.26,2800.6,2767.56,2722.97,2681.88,2644.7,2598.21,2563.51,2524.98,2489.58
357.5000,2940.18,2852.29,2800.27,2766.6,2722.06,2680.78,2643.69,2598.31,2562.53,2524.14,2488.26
358.0000,2938.2,2849.92,2799.11,2766,2720.45,2678.74,2642.78,2595.86,2561.44,2522.15,2486.96
358.5000,2935.19,2847.66,2796.99,2764.24,2718.31,2676.48,2640.78,2593.65,2559.87,2520.37,2485.04
359.0000,2932.48,2844.99,2794.39,2761.64,2715.51,2673.82,2638,2591.4,2558,2518.67,2483.57
359.5000,2928.8,2841.78,2790.94,2758.6,2712.46,2669.96,2634.71,2588.35,2555.07,2515.78,2480.46
360.0000,2924.4,2839.03,2787.17,2754.91,2709.21,2666.68,2631.08,2585.73,2552.45,2512.61,2477.43
360.5000,2919.72,2833.6,2782.6,2750.09,2704.04,2661.98,2626,2581.93,2548.57,2508.74,2474.12
361.0000,2914.48,2828.87,2777.85,2745.75,2699.08,2657.54,2621.36,2578.12,2544.96,2504.92,2470.18
361.5000,2907.88,2822.39,2771.11,2739.29,2692.66,2650.42,2615.8,2572.74,2538.93,2498.72,2464.46
362.0000,2900.12,2815.7,2764.57,2733.77,2685.59,2643.6,2609.97,2566.77,2532.89,2492.64,2458.93
362.5000,2893.32,2808.39,2758.41,2727.97,2679.22,2637.03,2604.21,2560.93,2527.27,2487.32,2453.39
363.0000,2885.1,2800.51,2749.87,2719.64,2672.52,2628.79,2596.58,2553.64,2520.59,2480.48,2447.08
363.5000,2877.34,2792.83,2741.51,2712.42,2664.86,2622.1,2589.94,2546.09,2513.36,2473.46,2440.09
364.0000,2866.66,2784.4,2732.19,2702.65,2656.04,2613.65,2581.1,2537.98,2504.51,2465.61,2432.46
364.5000,2857.1,2775.5,2722.99,2693.71,2647.33,2605.53,2572.6,2530.45,2497.29,2457.65,2424.11
365.0000,2844.41,2762.87,2712.13,2683.15,2637.01,2594.99,2561.57,2519.92,2487.17,2447.55,2414.79
365.5000,2832.75,2751.33,2700.45,2672.4,2626.3,2584.67,2551.25,2509.88,2477,2437.67,2404.89
366.0000,2821.13,2740.85,2690.08,2661.67,2615.9,2574.4,2540.94,2500.58,2467.07,2428.9,2395.57
366.5000,2808.17,2729.24,2677.36,2649.33,2603.79,2562.63,2529.61,2489.39,2456.3,2418.24,2384.64
367.0000,2796.26,2717.49,2666.05,2637.84,2592.2,2552.04,2519.16,2478.65,2446.18,2408.66,2374.2
367.5000,2780.18,2702.86,2651.06,2623.71,2578.48,2539.02,2505.07,2465.67,2433.15,2396.14,2361.26
368.0000,2765.27,2688.41,2636.74,2609.02,2564.1,2526.08,2491.94,2452.35,2419.45,2383.58,2348.43
368.5000,2751.11,2675.4,2623.17,2596.65,2551.35,2513.4,2479.43,2440,2407.19,2371.93,2336.95
