XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
373.0000,1952.47,1951.8,1945.21,1899.2,1853.45,1804.69,1760.84,1712.49,1674.56,1629.32,1586.34
373.5000,1933.5,1932.36,1924.96,1879.6,1834.4,1786.14,1742.94,1694.18,1656.16,1611.97,1568.59
374.0000,1915.54,1914.81,1906.43,1861.9,1816.49,1768.37,1725.68,1677.51,1639.6,1595.61,1552.01
374.5000,1898.7,1898.42,1889.14,1845.06,1799.52,1752.46,1709.32,1661.76,1624.26,1580.71,1537.64
375.0000,1880.04,1879.22,1870.24,1826.92,1780.62,1734,1691.78,1643.91,1607.43,1563.65,1521.45
375.5000,1862.93,1861.73,1852.38,1809.97,1763.81,1717.65,1675.2,1627.69,1591.67,1548.48,1506.64
376.0000,1842.92,1841.12,1830.15,1788.22,1743.15,1697.98,1655.92,1608.71,1571.78,1530.19,1488.1
376.5000,1823.73,1822.01,1810.54,1768.75,1724.13,1679.05,1637.63,1590.5,1553.61,1512.6,1470.54
377.0000,1805.62,1803.87,1792.24,1750.93,1706.38,1661.48,1620.91,1574.3,1537.55,1496.07,1454.95
377.5000,1785.52,1784.16,1772.3,1730.88,1686.31,1642.53,1601.92,1556.4,1519.43,1479.02,1437.57
378.0000,1768.14,1765.92,1753.69,1713.01,1667.85,1625.19,1584.22,1539.67,1502.8,1462.98,1421.62
378.5000,1745.96,1743.66,1731.27,1691.12,1646.46,1603.74,1563.23,1518.51,1482.78,1444.08,1402.52
379.0000,1726.06,1723.6,1710.9,1670.74,1626.31,1584.46,1543.62,1500.01,1464.45,1426.48,1384.88
379.5000,1707.36,1705.25,1692.29,1652.95,1607.95,1566.54,1525.89,1483.2,1448.1,1410.22,1368.99
380.0000,1686.93,1684.9,1671.11,1632.53,1587.9,1546.6,1506.48,1464.17,1430.02,1392.03,1351.28
380.5000,1667.93,1665.99,1652.06,1613.74,1569.55,1528.52,1489.03,1447.41,1413.27,1375.27,1335.45
381.0000,1645.59,1642.57,1628.45,1591.28,1548.13,1506.33,1468.83,1426.79,1392.8,1355.95,1316.23
381.5000,1625.03,1621.45,1607.67,1570.49,1527.73,1485.79,1449.26,1407.65,1374.02,1337.61,1297.71
382.0000,1606.18,1602.19,1588.2,1551.47,1508.84,1467.37,1431.62,1389.95,1356.55,1321.07,1281.28
382.5000,1585.64,1582.02,1566.44,1531.36,1488.77,1448.06,1412.37,1370.81,1338.39,1302.86,1263.1
383.0000,1566.58,1562.9,1546.55,1513.09,1469.96,1430.17,1394.39,1353.45,1321.31,1286.53,1247
383.5000,1543.7,1539.88,1522.67,1489.81,1447.12,1408.18,1372.97,1334.31,1300.48,1266.38,1227.79
384.0000,1522.48,1518.82,1501.21,1469.17,1426.86,1388.8,1353.01,1315.26,1282.51,1248.17,1209.98
384.5000,1503.43,1500.04,1482.34,1450.2,1408.99,1371.02,1335.31,1297.95,1265.62,1231.58,1193.87
385.0000,1482.17,1478.71,1461.37,1429.99,1389.17,1351.57,1315.81,1278.91,1246.67,1213.97,1176.22
385.5000,1462.92,1460.18,1442.03,1411.02,1370.77,1333.43,1298.36,1262.33,1229.8,1197.4,1159.53
386.0000,1439.9,1437.23,1419.46,1388.15,1348.44,1311.32,1277.54,1241.12,1209.89,1177.37,1140.79
386.5000,1418.29,1416.29,1398.81,1367.62,1328.35,1292.09,1258.61,1221.99,1191.28,1159.6,1122.82
387.0000,1399.02,1397.55,1380.19,1348.88,1310.67,1274.58,1241.31,1205.18,1174.77,1142.62,1107.09
387.5000,1378,1376.38,1359.41,1328.58,1291.05,1255.53,1222.59,1186.52,1156.62,1124.67,1090.03
388.0000,1358.89,1357.07,1341.13,1309.88,1273.12,1237.77,1205.22,1169.39,1139.94,1108.65,1075.07
388.5000,1336.34,1334.35,1318.68,1287.37,1251.97,1216.79,1184.24,1149.44,1120.64,1089.37,1056.9
389.0000,1315.32,1313.7,1298.44,1267.78,1232.32,1197.77,1165.66,1131.39,1102.96,1071.95,1039.7
389.5000,1296.9,1295.19,1280,1249.14,1214.53,1179.91,1149.74,1114.74,1086.95,1056.15,1024.05
390.0000,1275,1272.25,1257.6,1227.38,1193.33,1160.39,1129.71,1095.51,1067.47,1038,1005.13
390.5000,1257.99,1255.5,1241.23,1211.07,1178.06,1145.11,1114.91,1081.49,1053.01,1023.97,991.262
391.0000,1236.07,1233.57,1219.8,1189.89,1156.92,1125.01,1094.89,1062.16,1034.35,1005.95,973.943
391.5000,1216.19,1213.83,1200.11,1170.39,1138.1,1106.16,1076.92,1044.13,1017.4,989.075,958.142
392.0000,1198.09,1195.64,1182.08,1152.27,1121.58,1089.54,1060.98,1028.08,1001.99,973.726,943.425
392.5000,1176.51,1174.35,1161.1,1130.88,1101.19,1069.81,1041.79,1009.1,983.971,956.334,925.605
393.0000,1161.07,1158.05,1145.02,1115.36,1086.36,1054.51,1027.38,995.185,970.355,943.221,912.741
393.5000,1139.52,1136.91,1124.85,1095.06,1066.04,1034.42,1008.09,976.417,952.808,925.29,894.926
394.0000,1120.13,1117.75,1106.16,1076.61,1047.93,1016.96,990.432,960.015,936.494,909.121,879.595
394.5000,1102.7,1100.27,1089.16,1059.86,1031.29,1001.29,974.769,944.944,922.128,894.992,865.787
395.0000,1082.44,1080.09,1068.56,1039.69,1012.38,982.425,956.563,925.834,904.98,877.576,849.283
395.5000,1063.69,1061.1,1050.37,1021.92,995.162,965.746,939.737,909.637,888.929,861.855,834.544
396.0000,1047.05,1044.28,1033.82,1005.67,979.972,950.29,924.85,894.973,874.384,847.883,821.186
396.5000,1026.28,1023.91,1013.73,986.692,961.419,931.994,907.095,877.404,857.404,830.722,804.861
397.0000,1011.8,1009.09,999.057,972.195,947.789,918.45,894.208,863.973,844.922,818.515,792.862
397.5000,992.062,989.04,979.608,953.622,929.297,899.974,876.939,846.834,828.396,802.555,777.314
398.0000,974.839,971.456,961.814,936.655,912.3,883.363,860.977,831.737,813.091,787.501,762.991
398.5000,959.194,956.07,946.491,921.595,896.61,868.926,846.565,817.658,799.484,774.479,749.773
399.0000,939.873,937.033,927.98,903.101,878.795,852.119,829.829,801.494,783.108,758.541,734.957
399.5000,922.386,920.198,910.95,886.4,863.369,836.026,814.795,786.595,768.633,744.773,721.822
400.0000,906.566,904.083,895.869,871.02,849.041,821.629,801.335,773.331,755.498,731.975,709.72
400.5000,891.375,888.922,880.965,856.1,835.175,807.429,787.529,760.289,742.676,719.061,697.279
401.0000,874.934,872.777,864.871,839.944,819.932,792.447,773.204,746.025,728.676,705.458,683.934
401.5000,857.104,855.348,847.305,822.847,803.386,776.373,757.33,730.62,713.433,691.095,669.957
402.0000,841.462,839.124,831.066,807.131,788.42,761.633,743.251,716.786,699.82,677.746,657.149
402.5000,826.967,824.793,816.381,792.974,774.435,748.673,730.415,704.448,688.03,665.704,645.897
403.0000,810.256,807.332,799.896,776.693,758.129,733.286,715.739,689.658,673.574,651.606,632.588
403.5000,794.695,791.738,784.517,762.134,743.667,719.26,701.851,676.617,660.814,639.091,620.414
404.0000,780.978,777.665,770.564,748.918,730.551,706.661,689.436,664.724,648.936,628.067,609.55
404.5000,767.496,763.892,757.197,736.023,717.756,693.904,676.941,652.943,637.516,617.002,598.653
405.0000,752.883,749.129,742.651,721.764,703.906,680.252,663.295,640.068,625.282,605.201,587.158
405.5000,736.797,733.075,726.968,706.815,689.058,665.511,648.846,626.252,612.26,592.178,574.495
406.0000,723.788,720.083,713.966,694.346,677.071,653.537,637.437,614.897,601.075,581.677,564.255
406.5000,709.49,706.223,699.966,680.833,663.764,640.431,624.893,602.766,589.572,570.27,553.075
407.0000,694.102,690.973,684.933,665.958,649.167,627.035,611.145,589.563,577.094,557.912,541.225
407.5000,680.367,678.043,671.414,652.794,636.203,614.346,598.971,577.835,565.704,546.57,530.669
408.0000,667.868,666.114,659.651,640.777,624.972,602.985,588.118,567.252,555.594,536.745,521.434
408.5000,653.571,651.828,644.958,626.89,611.141,589.711,575.362,554.856,543.65,524.641,509.873
409.0000,642.822,640.737,633.834,616.421,600.677,580.079,565.822,545.743,534.734,515.957,500.807
409.5000,628.649,626.915,620.362,603.603,587.21,567.473,553.564,534.475,522.852,504.795,489.527
410.0000,617.138,615.471,608.809,592.949,576.477,556.956,543.296,524.73,513.025,495.596,480.226
410.5000,604.311,603.449,596.488,581.172,565.026,545.963,532.075,513.99,502.508,485.299,470.293
411.0000,590.733,590.093,583.276,568.329,552.671,534.12,520.462,502.659,491.319,474.348,459.895
411.5000,579.708,579.095,572.168,557.913,542.411,524.107,510.91,492.977,482.548,465.621,451.412
412.0000,567.587,567.485,560.198,546.297,531.756,513.386,500.533,482.602,472.512,456.083,442.172
412.5000,554.842,554.779,548.002,533.959,519.788,501.793,489.619,471.994,461.705,446.04,432.749
413.0000,543.599,543.291,536.984,522.97,509.235,491.528,479.502,462.371,452.498,436.896,423.651
413.5000,533.458,533.381,527.049,512.966,499.409,482.333,470.381,453.923,444.261,428.66,415.949
414.0000,521.738,521.593,515.205,501.163,487.991,471.576,459.644,443.752,434.024,419.061,407.023
414.5000,512.733,512.708,506.23,492.978,479.613,463.728,451.937,436.206,426.546,412.054,399.995
415.0000,501.169,501.325,494.411,481.572,469.043,453.231,441.439,426.377,416.612,402.355,391.124
415.5000,491.456,491.847,485.385,472.283,460.242,444.847,433.49,418.431,408.932,395.233,383.474
416.0000,481.097,481.206,475.397,462.417,451.083,435.585,424.859,410.065,400.42,387.198,375.382
416.5000,470.385,470.642,464.019,451.848,440.723,425.53,414.996,400.799,391.773,378.506,366.749
417.0000,461.441,461.733,454.905,443.134,432.318,417.77,406.813,392.936,384.391,371.277,359.783
417.5000,452.09,452.17,445.166,433.959,423.047,409.114,398.189,384.676,376.362,363.8,352.269
418.0000,441.636,441.644,434.84,424.156,413.21,399.825,389.123,375.859,367.975,355.784,344.479
418.5000,432.971,433.095,426.492,416.056,405.293,391.975,381.942,368.786,360.939,348.809,338.043
419.0000,423.914,423.753,417.528,406.898,396.466,383.498,373.843,361.15,353.135,341.544,330.885
419.5000,414.036,413.912,407.938,397.933,387.01,374.682,365.22,352.654,344.768,333.966,323.394
