XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
338.0000,2016.4,1999.26,1976.84,1956.22,1939.44,1909.56,1891.07,1869.32,1848.24,1828.81,1806.23
338.5000,2044.9,2026.92,2004.01,1983.75,1966.4,1936.74,1917.16,1895.07,1874.35,1854.16,1831.98
339.0000,2067.74,2049.4,2026.13,2005.69,1987.98,1958.64,1938.46,1916.32,1895.39,1874.75,1852.19
339.5000,2091.32,2073.38,2049.89,2029.24,2011.11,1982.08,1961.25,1938.92,1918.02,1897.19,1873.9
340.0000,2112.65,2095.75,2070.51,2049.96,2032.31,2002.61,1981.54,1958.58,1937.75,1917.1,1892.57
340.5000,2135.98,2118.54,2092.41,2071.9,2053.99,2024.49,2003.1,1979.44,1959.13,1938.23,1912.72
341.0000,2156.15,2138.96,2111.87,2091.75,2073.33,2044.51,2021.13,1997.89,1977.58,1956.5,1930.66
341.5000,2177.6,2160.17,2132.81,2113.3,2093.45,2064.59,2041.08,2017.86,1996.37,1975.99,1949.94
342.0000,2200.37,2182.39,2154.25,2134.79,2114.26,2085.5,2062.3,2038.26,2016.39,1996.73,1970.05
342.5000,2216.02,2198.49,2169.26,2150.1,2129.68,2100.89,2077.43,2053.15,2030.95,2012.06,1984.63
343.0000,2236.48,2218.39,2189.4,2170.11,2150.07,2121.15,2096.64,2072.97,2049.33,2030.76,2002.48
343.5000,2252.49,2234.56,2205.47,2185.59,2165.62,2136.27,2113.02,2088.59,2064.01,2045.35,2017.2
344.0000,2269.03,2251.12,2222.69,2202.46,2182.43,2153.7,2129.39,2104.73,2079.8,2061.07,2033.53
344.5000,2283.98,2266.25,2237.36,2217.3,2196.66,2167.42,2142.86,2118.86,2093.55,2074.76,2046.74
345.0000,2299.04,2282.92,2252.85,2232.3,2211.42,2181.86,2157.99,2133.77,2108.56,2088.91,2060.47
345.5000,2312.45,2295.94,2266.6,2245.67,2224.11,2194.15,2170.73,2146.37,2120.81,2101.6,2072.51
346.0000,2326.63,2310.22,2280.51,2259.07,2237.74,2207.59,2184.6,2158.77,2134.05,2114.23,2085.89
346.5000,2339.91,2324.22,2294.54,2273.51,2251.3,2221.14,2198.28,2172.27,2147.22,2127.05,2099.15
347.0000,2349.99,2334.65,2305.08,2284.15,2262.43,2231.1,2208.14,2182.68,2157.46,2136.66,2109.02
347.5000,2361.51,2345.74,2315.93,2295.66,2273.5,2241.84,2218.46,2193.15,2168.82,2147.04,2119.74
