XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
359.0000,2602.8,2608.59,2577.1,2544.8,2504.72,2451.79,2395.02,2354.32,2320.58,2296.76,2254.46
359.5000,2598.35,2603.77,2571.73,2539.52,2498.95,2444.97,2388.88,2348.36,2313.45,2289.61,2247.28
360.0000,2593.54,2598.08,2566.73,2534.71,2492.57,2438.94,2382.25,2342.09,2306.46,2283.11,2240.07
360.5000,2586.62,2592.12,2560.24,2527.84,2485.25,2431.08,2375.41,2334.36,2298.75,2275.49,2232.32
361.0000,2578.85,2585.63,2553.87,2521.01,2479.01,2424.29,2368.85,2326.3,2291.16,2268.29,2224.13
361.5000,2570.91,2577.22,2545.45,2512.93,2470.46,2414.94,2360.18,2317.91,2281.72,2258.78,2214.08
362.0000,2562.51,2568.83,2536.67,2505.43,2462.22,2405.59,2351.14,2308.99,2272.56,2248.88,2204.39
362.5000,2554.15,2560.82,2528.72,2497.49,2453.63,2397.19,2342.4,2299.77,2264.27,2239.47,2195.42
363.0000,2545.61,2552.04,2519.28,2487.75,2443.38,2386.99,2332.19,2289.14,2253.97,2229.08,2185.42
363.5000,2537.31,2544.28,2510.92,2479.01,2433.74,2377.5,2323.34,2279.33,2243.7,2220,2175.53
364.0000,2528.31,2533.38,2500.02,2468.51,2422.13,2366.32,2311.33,2268.15,2232.51,2207.89,2164.35
364.5000,2518.45,2522.28,2489.56,2458.24,2411.83,2356.33,2299.95,2257.19,2222.09,2197.12,2153.47
365.0000,2505.63,2509.24,2476.5,2445.75,2398.82,2343.95,2287.24,2243.83,2209.04,2184.36,2140.07
365.5000,2493.18,2497.4,2463.9,2433.45,2386.1,2331.6,2275,2231.61,2196.76,2171.51,2127.3
366.0000,2481.81,2486.17,2452.08,2421.73,2374,2320.09,2263.6,2220.13,2184.85,2159.47,2115.18
366.5000,2469.22,2472.12,2438.52,2408.16,2360.1,2306.19,2249.15,2206.66,2170.89,2145.81,2101.21
367.0000,2457.03,2459.84,2425.55,2396.26,2347.39,2293.69,2235.46,2194.04,2157.85,2133.63,2088.18
367.5000,2440.71,2443.97,2409.57,2380.49,2331.95,2278.07,2221.08,2177.95,2141.94,2117.9,2072.39
368.0000,2425.58,2428.94,2394.28,2365.51,2316.6,2262.85,2206.46,2162.8,2126.8,2103.68,2056.79
368.5000,2411.78,2414.62,2380.12,2351.66,2302.07,2248.93,2192.21,2149.37,2112.69,2090.42,2043.01
369.0000,2395.67,2398.46,2363.93,2334.82,2285.34,2232.83,2176.76,2133.59,2096.7,2074.82,2027.16
369.5000,2380.96,2382.97,2348.47,2319.71,2269.6,2217.75,2162.44,2119.37,2082.9,2060.08,2013.43
370.0000,2363.66,2365.66,2331.02,2302.01,2252.38,2200.93,2145.62,2102.55,2066.88,2044.25,1997.16
370.5000,2348.01,2349.2,2315.39,2285.94,2236.35,2185.2,2131.09,2087.1,2051.91,2028.73,1981.87
371.0000,2328.19,2330.39,2295.39,2266.15,2216.45,2166.38,2112.75,2068.38,2033.16,2010.29,1963.13
371.5000,2310.41,2311.72,2277.24,2247.22,2197.15,2148.02,2094.98,2049.81,2014.84,1992.83,1945.16
372.0000,2293.72,2295.06,2260.74,2229.77,2179.78,2131.05,2078.11,2033.17,1997.85,1975.95,1929.19
372.5000,2274.63,2275.63,2241.2,2210.34,2160.16,2111.6,2059.36,2015.01,1979.44,1957.17,1911.16
373.0000,2256.7,2256.91,2224.06,2191.63,2142.56,2094.05,2042.1,1998.34,1962.59,1940.96,1893.91
373.5000,2235.37,2234.52,2202.46,2169.85,2120.8,2072.92,2021.62,1978.63,1942.43,1920.09,1872.77
374.0000,2214.08,2213.01,2181.81,2149.74,2100.32,2052.53,2002.07,1958.46,1923.64,1901.07,1853.54
374.5000,2195.36,2193.79,2162.71,2130.85,2081.45,2034.41,1984.61,1940.99,1906.61,1882.93,1836.52
375.0000,2174.26,2171.63,2141.42,2109.81,2060.17,2013.79,1963.75,1920.7,1886.42,1862.83,1817.26
375.5000,2154.59,2152.3,2121.61,2090.07,2039.91,1995.09,1944.84,1902.07,1867.83,1845.01,1799.85
376.0000,2129.89,2129.05,2097.75,2065.91,2016.99,1971.76,1922.17,1879.69,1845.56,1822.74,1778.34
376.5000,2107.55,2107.38,2075.16,2044.56,1995.6,1950.25,1901.14,1859.19,1824.94,1802.45,1758.18
377.0000,2087.18,2087.06,2054.24,2023.15,1976.33,1930.14,1881.97,1839.69,1806.67,1784.27,1739.73
377.5000,2063.34,2064.52,2031.18,2000.63,1953.71,1908.82,1860.34,1818.43,1785.63,1763.2,1719.41
378.0000,2042.51,2044.08,2010.37,1979.97,1933.42,1889.14,1840.87,1798.87,1766.58,1744.96,1700.85
378.5000,2017.47,2018.34,1985.28,1955.65,1908.73,1864.78,1816.76,1775.66,1743.74,1720.54,1678.01
379.0000,1994.11,1995,1961.71,1932.28,1886.2,1841.82,1794.08,1753.84,1722.11,1699.01,1657.54
379.5000,1972.34,1972.97,1940.94,1911.01,1865,1821.94,1774.27,1733.7,1701.96,1680.28,1638.81
380.0000,1949.11,1949.68,1917.74,1887.25,1841.82,1799.51,1752.42,1712.19,1680.44,1659.21,1617.71
380.5000,1927.12,1927.69,1896.54,1865.98,1820.34,1778.77,1732.7,1692.42,1660.74,1639.53,1599.37
381.0000,1900.63,1901.34,1870.81,1840.5,1795.75,1753.29,1708.37,1667.97,1637.49,1615.99,1576.27
381.5000,1875.78,1876.88,1846.64,1816.27,1772.23,1730.88,1686.35,1646.14,1616.47,1594.76,1554.81
382.0000,1853.52,1855.33,1825.19,1794.21,1751.61,1710.33,1666.8,1626.44,1596.79,1575.27,1535.49
382.5000,1829.57,1831.67,1801.47,1770.35,1728.86,1686.84,1645.85,1604.42,1575.05,1553.8,1514.57
383.0000,1807.7,1809.44,1779.72,1748.68,1707.88,1665.97,1625.42,1584.39,1555.55,1534.1,1496.03
383.5000,1781.21,1782.1,1752.5,1722.62,1682.81,1640.62,1600.69,1560.06,1531.63,1510.99,1473.26
384.0000,1757.15,1757.75,1728.17,1698.26,1659.52,1617.6,1578.11,1537.77,1510.13,1489.22,1452.16
384.5000,1734.66,1735.48,1706.42,1676.58,1638.36,1596.46,1557.85,1517.85,1490.31,1469.81,1433.66
385.0000,1710.42,1710.8,1682.65,1652.66,1615.29,1573.36,1535.23,1496.14,1468.55,1447.82,1412.86
385.5000,1688.58,1689.02,1660.7,1631.06,1593.67,1552.69,1514.63,1476.31,1449.02,1428.25,1393.3
386.0000,1662.35,1662.23,1634.7,1605.31,1568.33,1528.22,1490.15,1452.49,1425.79,1404.73,1370.96
386.5000,1638.58,1638.07,1610.79,1581.42,1545.36,1505.15,1467.8,1430.74,1404.33,1383.95,1350.49
387.0000,1616.13,1616.19,1589.07,1560.15,1524.64,1484.31,1447.6,1411.49,1384.65,1364.88,1331.25
387.5000,1591.08,1592.41,1565.52,1536.8,1501.53,1462.12,1425.52,1389.28,1362.89,1343.84,1310.55
388.0000,1568.82,1570.26,1543.66,1515.69,1480.51,1442.14,1405.62,1369.7,1343.78,1325.26,1291.97
388.5000,1543.01,1543.52,1517.61,1489.93,1455.44,1417.57,1381,1345.4,1321.27,1302.48,1270.58
389.0000,1518.57,1519.57,1493.95,1466.17,1432.87,1395.35,1359.42,1324.19,1300.99,1280.95,1250.49
389.5000,1496.62,1498.58,1472.57,1445.37,1412.57,1375.71,1340.13,1305.35,1281.96,1262.42,1232.39
390.0000,1471.12,1472.54,1446.64,1420.44,1388.55,1351.95,1317.26,1282.35,1259.27,1240.05,1210.75
390.5000,1451.83,1453.14,1427.82,1401.93,1370.16,1334.54,1299.63,1265.07,1242.53,1223.73,1194.08
391.0000,1426.52,1428.05,1403.02,1377.15,1346.87,1310.53,1276.36,1241.89,1220.48,1201.62,1173
391.5000,1403.72,1405.34,1380.28,1354.53,1324.95,1288.92,1255.23,1221.11,1200.44,1181.66,1153.83
392.0000,1383.09,1384.57,1359.71,1334.1,1305.5,1269.62,1235.9,1202.25,1181.96,1163.05,1136.09
392.5000,1358.25,1359.07,1335.35,1309.56,1282.15,1246.45,1213.08,1180.21,1160.28,1141.82,1115.36
393.0000,1340.32,1341.05,1317.12,1291.16,1264.7,1229.47,1196.36,1163.87,1144.67,1125.5,1100.3
393.5000,1315.27,1315.51,1293.38,1267.38,1241.76,1206.82,1174.47,1143.07,1123.3,1104.97,1079.65
394.0000,1293.45,1292.68,1271.52,1245.41,1220.32,1186.59,1154.67,1122.33,1103.8,1086.12,1061.3
394.5000,1273.64,1272.4,1251.95,1226.15,1200.7,1167.92,1137.03,1104.49,1086.47,1069.06,1045.04
395.0000,1250.89,1248.38,1228.78,1203.48,1178.31,1146.31,1115.59,1084.14,1065.65,1049.06,1025.22
395.5000,1229.14,1226.28,1207.7,1182.54,1157.94,1126.16,1096.64,1065.49,1046.72,1030.38,1007.23
396.0000,1209.78,1207.17,1189.05,1162.82,1139.61,1108.49,1078.9,1048.59,1029.79,1013.46,990.815
396.5000,1187.12,1184.24,1165.98,1140.25,1117.75,1087.49,1058.33,1028.29,1010.72,995.049,971.675
397.0000,1170.61,1167.33,1149,1123.74,1101.77,1071.57,1042.76,1013.31,996.543,980.275,957.236
397.5000,1147.86,1144.78,1126.66,1102.34,1080.59,1050.79,1022.49,993.507,976.458,960.807,938.8
398.0000,1127.2,1124.49,1106.29,1082.7,1061.59,1031.58,1003.42,975.816,958.962,943.527,921.521
398.5000,1108.63,1105.83,1087.81,1064.38,1044.08,1015.02,986.824,959.919,942.946,928.191,906.587
399.0000,1087.38,1084.33,1065.79,1043.4,1023.33,994.817,966.909,940.65,924.291,909.56,888.52
399.5000,1067.73,1064.56,1045.94,1024.47,1004.39,976.807,949.097,923.565,907.032,892.741,872.276
400.0000,1049.56,1046.25,1027.84,1007.78,987.467,960.847,932.284,908.082,891.889,877.595,857.705
400.5000,1031.95,1028.79,1010.13,990.697,970.625,944.741,916.416,892.479,876.598,862.56,842.69
401.0000,1013.42,1009.64,991.306,972.269,952.317,927.014,899.139,875.701,860.192,846.044,827.408
401.5000,992.711,988.767,971.71,952.657,932.51,907.734,880.826,858.324,842.883,828.951,810.342
402.0000,974.329,970.668,953.456,934.949,914.692,891.051,864.371,842.149,826.979,813.165,794.685
402.5000,957.982,953.972,937.101,919.167,899.113,876.014,849.464,827.725,812.65,799.132,780.961
403.0000,938.234,934.237,917.91,899.975,880.676,857.982,831.608,810.513,796.168,783.002,765.147
403.5000,920.317,915.93,900.368,882.687,863.602,841.39,815.529,794.86,780.574,767.972,750.758
404.0000,903.751,899.952,884.383,867.185,848.331,826.323,801.687,780.841,766.936,754.121,736.974
404.5000,887.853,884.692,869.044,851.66,833.674,812.288,787.56,766.776,753.615,740.7,723.872
405.0000,871.075,867.523,852.601,835.217,818.013,796.555,772.404,752.399,738.793,726.257,709.836
405.5000,852.781,848.8,834.614,817.482,800.4,779.864,756.127,736.653,722.965,710.367,694.644
406.0000,837.614,833.898,819.841,803.027,785.844,765.771,742.613,723.898,709.85,697.635,682.24
406.5000,821.672,817.615,803.71,787.692,770.107,750.356,727.634,709.56,695.462,684.104,668.861
407.0000,803.858,799.251,786.421,770.587,753.497,734.582,711.919,694.266,680.735,669.651,654.55
407.5000,788.016,783.784,770.639,755.348,738.558,720.115,697.798,680.791,667.365,656.256,641.732
408.0000,773.667,769.54,756.802,741.591,724.999,707.36,684.891,668.466,654.99,644.384,630.462
408.5000,756.907,752.644,739.776,725.869,708.84,692.076,670.205,654.125,640.952,630.259,616.953
409.0000,744.029,740.288,727.738,714.308,697.028,680.805,659.323,643.558,630.474,619.967,606.725
409.5000,727.597,724.435,712.096,698.817,681.637,665.514,645.084,629.462,616.9,606.801,593.633
410.0000,713.95,711.658,698.965,686.607,668.984,653.113,633.377,617.645,605.372,595.706,582.574
410.5000,699.252,697.47,684.513,673.122,655.651,640.425,620.822,604.877,592.869,583.995,570.579
411.0000,683.877,682.584,669.172,658.685,640.875,625.711,607.077,591.075,579.863,571.735,557.845
411.5000,671.593,669.799,656.806,646.451,629.082,613.924,595.728,580.876,569.027,561.115,546.98
412.0000,657.862,656.368,643.421,633.38,616.358,601.491,583.545,569.443,557.43,549.37,535.554
412.5000,642.896,641.513,629.604,619.259,602.476,588.093,570.463,556.597,545.078,537.488,523.993
413.0000,630.327,628.325,616.347,606.645,590.216,575.796,558.15,545.183,534.383,526.582,513.032
413.5000,618.808,616.328,604.602,595.281,579.345,564.993,547.358,534.689,524.619,516.77,503.476
414.0000,604.812,602.62,591.28,582.002,566.008,552.311,534.994,522.893,512.749,504.907,492.557
414.5000,594.088,592.295,581.582,571.931,556.413,542.749,525.819,514.232,503.66,496.61,484.343
415.0000,580.495,578.75,568.195,559.107,543.831,530.296,513.816,502.406,492.764,485.272,473.034
415.5000,569.908,567.734,557.267,548.697,533.266,520.114,504.318,492.854,483.537,475.922,464.245
416.0000,558.063,555.584,545.578,537.08,522.407,509.102,493.417,482.486,473.406,465.796,454.151
416.5000,545.393,542.407,533.657,524.778,510.396,497.387,482.422,471.632,462.581,455.486,444.064
417.0000,534.335,531.843,523.621,515.259,500.71,487.738,472.97,462.626,453.988,446.81,435.32
417.5000,523.169,520.274,512.62,504.521,490.08,477.424,463.028,452.693,444.73,437.596,426.022
418.0000,511.146,508.022,500.946,492.941,478.888,466.421,452.298,442.565,434.424,427.978,416.143
418.5000,500.893,498.297,491.44,483.142,469.584,457.399,443.631,434.019,426.143,419.591,408.238
