XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
372.5000,2498.83,2478.96,2447.5,2445.39,2409.62,2372.94,2347.52,2304.9,2284.29,2259.31,2243.73
373.0000,2478.84,2459.15,2428.68,2426.04,2391.16,2353.87,2329.04,2286.69,2266.07,2241.88,2226.71
373.5000,2454.22,2435.31,2404.32,2402.96,2367.83,2330.95,2305.93,2264.65,2244.17,2219.1,2204.11
374.0000,2431.94,2412.54,2381.17,2380.62,2346.3,2310.42,2284.82,2244.09,2223.92,2198.37,2183.54
374.5000,2410.95,2391.52,2360.07,2360.48,2325.7,2291,2265.11,2224.79,2204.86,2179.22,2165.23
375.0000,2387,2368.46,2336.28,2336.72,2302.94,2268.31,2242.98,2202.74,2183.71,2157.37,2144.41
375.5000,2365.79,2347.52,2315.2,2315.75,2281.81,2247.44,2222.83,2182.43,2164.34,2137.98,2125.32
376.0000,2339.21,2321.39,2288.82,2289.79,2256.17,2223.12,2198.33,2157.23,2140.47,2114.3,2101.5
376.5000,2314.42,2296.78,2265.28,2266.85,2232.48,2200.24,2174.95,2134.5,2119.1,2092.39,2078.42
377.0000,2291.66,2274.83,2243.82,2244.51,2210.55,2178.85,2153.58,2113.92,2098.84,2071.97,2058.01
377.5000,2267.35,2250.31,2219.55,2220.03,2186.52,2155.61,2130.19,2091.11,2075.7,2049.57,2035.29
378.0000,2244.2,2227.67,2197.12,2197.34,2164.66,2134.17,2107.83,2070.58,2053.88,2028.13,2014.49
378.5000,2216.5,2199.28,2169.27,2169.87,2137.75,2107.61,2080.65,2044.4,2028.37,2002.15,1988.76
379.0000,2190.5,2173.77,2144.18,2144.56,2113.13,2083.4,2056.45,2021.08,2003.88,1979.02,1965.56
379.5000,2166.66,2150.1,2120.91,2121.1,2090.22,2061.42,2034.48,1999.21,1981.72,1957.8,1944.42
380.0000,2140.91,2124.3,2095.65,2095.61,2064.23,2036.72,2010.19,1975.32,1958,1934.29,1921.31
380.5000,2117.42,2100.5,2072.93,2071.78,2041.18,2014.9,1987.21,1953.74,1936.25,1912.73,1899.35
381.0000,2088.77,2072.67,2044.7,2043.09,2013.42,1987.68,1960.05,1926.37,1909.67,1887.26,1872.7
381.5000,2062.23,2047.13,2018.77,2017.33,1987.81,1962.02,1934.55,1901.37,1886.19,1863.37,1848.93
382.0000,2037.34,2023.44,1994.95,1993.22,1964.4,1938.91,1911.43,1878.9,1865.07,1841.27,1826.94
382.5000,2010.51,1997.17,1968.73,1967.71,1938.46,1913.44,1886.34,1854.58,1840.82,1817.3,1803.67
383.0000,1986.16,1973.07,1944.78,1944.14,1914.76,1890.2,1863.52,1832.66,1818.94,1796.11,1781.96
383.5000,1957.35,1943.39,1915.64,1915.83,1886.49,1863.23,1835.59,1805.78,1792.16,1768.83,1755.67
384.0000,1930.1,1917.1,1889.85,1890.25,1861.15,1837.18,1809.97,1780.9,1767.72,1744.64,1731.41
384.5000,1905.81,1893.36,1866.13,1866.93,1838.02,1814.07,1787.21,1758.94,1746.11,1722.28,1709.52
385.0000,1879.58,1866.22,1839.61,1840.85,1812.94,1788.97,1762.73,1734.76,1721.81,1698.41,1686.09
385.5000,1855.29,1841.98,1816.11,1817.12,1789.9,1765.85,1739.69,1713.01,1699.15,1676,1664.59
386.0000,1825.86,1813.29,1787.53,1788.09,1761.22,1738.67,1712.32,1685.59,1673.58,1649.67,1638.02
386.5000,1799.92,1787.05,1761.91,1762.16,1735.31,1713.55,1687.35,1661.46,1649.37,1626.09,1613.75
387.0000,1776.18,1762.95,1738.27,1738.97,1712.61,1690.07,1664.25,1638.66,1627.43,1603.66,1591.58
387.5000,1750,1736.6,1712.86,1712.98,1686.9,1664.25,1639.11,1614.03,1603.17,1579.3,1567.84
388.0000,1726.43,1712.53,1689.38,1689.39,1664.11,1641.12,1616.49,1591.82,1580.99,1557.19,1546.51
388.5000,1697.88,1683.66,1661.18,1662.09,1636.34,1613.85,1589.72,1565.97,1555.2,1531.26,1520.74
389.0000,1671.16,1657.4,1635.1,1635.97,1611.27,1589.13,1565.33,1541.22,1530.97,1506.89,1497.72
389.5000,1647.25,1633.91,1611.32,1612.71,1587.91,1566.29,1542.94,1519.25,1509.19,1485.71,1475.91
390.0000,1618.2,1605.39,1583.09,1585.45,1560.23,1539.38,1516.88,1493.52,1483.16,1460.11,1450.77
390.5000,1597.37,1584.27,1562.73,1564.93,1539.99,1518.77,1497.03,1473.82,1464.6,1440.78,1432.03
391.0000,1569.89,1557.29,1535.22,1537.24,1512.79,1492.15,1471.13,1448.21,1438.63,1416.13,1407.23
391.5000,1543.95,1532.55,1510.96,1512.33,1488.65,1467.85,1447.49,1424.73,1415.21,1393.26,1384.81
392.0000,1520.79,1509.52,1489.29,1489.45,1466.93,1445.75,1425.81,1403.7,1394.45,1372.58,1364.02
392.5000,1493.79,1482.69,1462.75,1462.69,1440.74,1419.48,1400.45,1378.47,1369.54,1347.39,1339.7
393.0000,1473.51,1461.71,1442.76,1443.1,1421.39,1400.31,1381.11,1359.96,1350.46,1329.08,1321.39
393.5000,1447.21,1434.95,1416.74,1416.72,1395.98,1374.79,1355.43,1335.04,1325.17,1304.79,1297.28
394.0000,1423.39,1410.58,1393.31,1393.33,1372.59,1351.96,1332.76,1313.01,1302.87,1282.8,1275.39
394.5000,1401.58,1389.46,1371.65,1371.92,1350.84,1331.48,1311.49,1292.11,1282.18,1263.18,1256.36
395.0000,1374.8,1362.53,1346.02,1346.02,1325.85,1307.11,1287.15,1267.89,1258.18,1238.9,1232.59
395.5000,1351.05,1338.81,1322.94,1322.97,1303.63,1284.43,1265.01,1245.97,1236.6,1217.1,1211.43
396.0000,1329.6,1317.7,1301.74,1301.7,1282.96,1263.77,1246.03,1226.6,1217.24,1197.06,1192.81
396.5000,1304.04,1293.06,1276.95,1276.79,1258.24,1239.97,1222.39,1203.4,1194.23,1175.31,1169.95
397.0000,1285.65,1274.47,1259.05,1258.05,1239.74,1222.21,1204.54,1186.35,1177.52,1158.23,1153.08
397.5000,1260.7,1249.89,1234.34,1233.86,1216.27,1198.31,1180.99,1163.17,1154.63,1136.05,1130.61
398.0000,1237.29,1227.41,1211.86,1211.8,1195.14,1176.42,1159.76,1142.56,1133.76,1115.09,1110.24
398.5000,1216.71,1206.69,1191.44,1191.55,1175.81,1156.99,1141.19,1124.38,1115.07,1097.13,1092.6
399.0000,1192.91,1181.72,1168.25,1168.35,1152.83,1134.34,1119.17,1102.63,1093.23,1075.1,1071.35
399.5000,1171.94,1160.1,1147.17,1147.15,1131.93,1113.46,1098.92,1082.39,1072.97,1055.44,1051.8
400.0000,1152.36,1140.62,1128.17,1127.9,1113.11,1094.95,1080.5,1064.03,1055.37,1037.92,1033.96
400.5000,1133.4,1121.56,1108.83,1109.01,1094.4,1076.98,1062.63,1045.45,1037.45,1019.75,1016.36
401.0000,1112.26,1100.92,1088.61,1088.45,1073.92,1056.48,1043.13,1025.72,1018.2,1000.93,997.377
401.5000,1089.18,1078.86,1066.74,1065.85,1052.5,1034.58,1022.13,1004.36,996.914,980.137,977.095
402.0000,1068.81,1058.57,1046.57,1045.66,1032.53,1015.34,1002.92,985.024,978.145,962.027,959.204
402.5000,1050.17,1040.75,1028.9,1027.56,1014.38,998.211,985.554,967.968,961.152,945.006,942.468
403.0000,1028.49,1019.13,1007.88,1006.38,993.175,977.57,965.515,947.758,941.263,925.573,923.503
403.5000,1009.11,999.854,988.661,987.322,973.982,959.374,947.436,929.566,923.197,908.144,905.895
404.0000,991.431,982.435,971.78,970.339,956.976,942.185,931.467,913.674,906.836,892.285,890.068
404.5000,973.844,965.254,954.825,952.718,939.854,926.17,914.959,897.945,891.163,876.609,874.488
405.0000,954.994,946.809,936.268,934.192,921.641,908.678,897.349,881.128,873.463,859.589,857.871
405.5000,934.311,926.963,916.158,914.466,901.388,889.682,879.073,862.842,854.851,841.47,839.813
406.0000,918.049,910.456,900.204,898.07,885.642,874.216,863.432,847.512,839.092,826.922,825.185
406.5000,899.817,892.443,882.941,880.615,868.49,857.278,846.291,830.794,822.562,810.878,808.677
407.0000,880.717,873.315,864.354,862.258,850.171,839.271,827.692,813.267,804.813,793.529,791.227
407.5000,863.722,855.914,847.613,845,833.29,822.832,811.836,796.914,788.774,777.775,775.431
408.0000,848.249,840.86,832.297,829.558,818.251,808.135,796.621,782.564,774.286,763.669,761.368
408.5000,829.725,822.636,814.383,811.694,800.434,790.838,779.891,765.847,757.655,747.573,744.701
409.0000,816.227,808.604,801.201,798.245,787.142,777.979,767.322,753.442,745.248,735.214,732.349
409.5000,798.263,790.81,783.572,781.173,769.561,760.738,750.396,736.547,728.724,718.737,716.453
410.0000,783.512,776.062,769.426,766.841,755.47,746.799,736.4,722.799,715.278,705.555,703.313
