XYDATA,BFII_nolipid-no_12-15-25-1,BFII_nolipid-no_12-15-25-2,BFII_nolipid-no_12-15-25-3,BFII_nolipid-no_12-15-25-4,BFII_nolipid-no_12-15-25-5,BFII_nolipid-no_12-15-25-6,BFII_nolipid-no_12-15-25-7,BFII_nolipid-no_12-15-25-8,BFII_nolipid-no_12-15-25-9,BFII_nolipid-no_12-15-25-10,BFII_nolipid-no_12-15-25-11
340.0000,2127.75,2028.15,1667.4,1819.89,1860.49,1860.97,1843.32,1818.09,1801.55,1778.17,1768.05
340.5000,2151.36,2050.96,1684.98,1839.5,1880.65,1881.69,1863.43,1837.52,1821.47,1797.95,1787.99
341.0000,2173.04,2070.26,1701.09,1857.18,1898.08,1899.4,1881.18,1854.98,1838.67,1815.02,1804.71
341.5000,2195.34,2090.5,1717.65,1876.03,1917.51,1917.59,1900.18,1873.66,1856.52,1833.63,1822.29
342.0000,2218.63,2112.58,1735.14,1894.36,1937.35,1936.71,1920.28,1893.31,1876.08,1852.63,1841.56
342.5000,2235.38,2128.11,1747.55,1907.94,1952.3,1950.42,1934.69,1907.37,1889.18,1866.24,1855.21
343.0000,2257.12,2149.03,1764.41,1926.05,1970.39,1969.21,1952.28,1925.35,1906.79,1883.66,1872.31
343.5000,2275.12,2165.67,1776.69,1940.19,1984.53,1984.22,1966.88,1939.48,1921.14,1897.83,1886.05
344.0000,2293.05,2183.32,1789.92,1955.67,1999.66,1999.72,1982.33,1954.8,1936.02,1912.75,1901.08
344.5000,2308.7,2198.58,1801.68,1968.38,2012.64,2013.02,1996.02,1967.86,1949.11,1925.61,1913.64
345.0000,2325.58,2213.72,1813.83,1982.49,2026.47,2027.2,2009.56,1981,1962.82,1939.27,1927.39
345.5000,2339.57,2226.34,1823.98,1993.93,2038.56,2039.16,2021.52,1992.85,1974.69,1950.89,1939.39
346.0000,2354.26,2239.64,1835.02,2006.91,2051.22,2051.71,2033.57,2004.37,1986.59,1962.73,1951.69
346.5000,2369.91,2254.51,1846.51,2019.52,2063.41,2064.65,2045.62,2017.42,2000,1974.74,1963.49
347.0000,2381.43,2266.25,1855.24,2029.82,2073.42,2074.95,2055.13,2026.98,2009.79,1983.69,1973.07
347.5000,2393.5,2278.53,1865.3,2039.88,2082.94,2085.9,2065.56,2036.99,2018.99,1993.54,1982.81
348.0000,2403.19,2288.44,1872.99,2047.21,2091.82,2094.78,2074.5,2045.45,2027.32,2001.71,1990.92
348.5000,2413.37,2297.89,1881.06,2056.43,2100.77,2103.8,2083.77,2054.77,2035.8,2010.22,1999.92
349.0000,2422.41,2306.24,1887.23,2063.46,2108.07,2110.65,2090.56,2062.23,2042.44,2017.15,2006.93
349.5000,2431.53,2315.09,1894.38,2071.03,2114.87,2117.89,2097.35,2069.77,2049.2,2024.77,2014.15
350.0000,2440.03,2323.55,1900.56,2078.92,2121.93,2125.41,2105.39,2077.69,2056.62,2032.88,2020.98
350.5000,2447.24,2329.43,1905.3,2083.48,2126.93,2130.26,2111.15,2083.22,2061.98,2038.32,2026.04
351.0000,2454.13,2334.85,1910.23,2088.64,2132.53,2135.31,2116.92,2089.08,2067.24,2043.77,2031.75
351.5000,2459.28,2340.18,1913.95,2092.98,2137.22,2139.68,2121.34,2093.26,2071.29,2047.93,2036.2
352.0000,2463.99,2346.1,1918.03,2096.34,2141.88,2143.95,2126.07,2098.12,2074.74,2052.28,2040.24
352.5000,2468.41,2350.06,1920.93,2099.72,2145.36,2147.61,2129.44,2101.22,2078.1,2055.69,2044.03
353.0000,2472.25,2354.62,1924.3,2102.79,2148.33,2150.6,2132.95,2103.83,2080.53,2058.57,2047.3
353.5000,2475.94,2357.91,1925.75,2105.53,2150.59,2152.88,2135.26,2106.05,2082.67,2060.74,2049.54
354.0000,2478.22,2360.88,1926.95,2107.82,2152.56,2154.22,2137.6,2107.94,2084.45,2063.04,2051.38
354.5000,2479.07,2362.2,1926.75,2109.05,2154.27,2155.33,2139.18,2109.05,2085.67,2064.59,2052.6
355.0000,2480.04,2362.83,1926.94,2109.56,2154.79,2156.54,2140.02,2109.43,2086.21,2065.19,2053.78
355.5000,2480.25,2363.54,1927.19,2109.96,2154.84,2156.56,2141.14,2109.4,2086.26,2065.65,2053.65
356.0000,2479.57,2362.64,1926.83,2108.84,2153.71,2155.74,2141.36,2108.96,2085.56,2065,2053.79
356.5000,2478.66,2362.57,1925.89,2107.42,2153.03,2154.94,2140.44,2108.8,2084.47,2064.06,2053.46
357.0000,2476.98,2359.9,1924.24,2105.97,2151.77,2153.6,2138.94,2107.12,2083.02,2062.39,2053.83
357.5000,2475.19,2357.71,1921.85,2103.64,2150.54,2152.63,2137.75,2105.12,2080.8,2061.14,2052.42
358.0000,2472.53,2354.38,1919.29,2100.79,2147.89,2150.06,2134.12,2102.22,2078.96,2058.15,2050.96
358.5000,2469.06,2351.24,1916.28,2097.59,2144.15,2146.13,2130.56,2098.96,2075.9,2055.35,2048.01
359.0000,2465.08,2347.83,1912.7,2094.13,2140.72,2142.88,2126.66,2095.74,2073.01,2051.61,2044.62
359.5000,2460.66,2343.35,1908.84,2090.28,2136.72,2139.47,2122.96,2091.85,2069.32,2047.69,2041.29
360.0000,2456.43,2339.41,1905.19,2087.15,2132.28,2135.74,2118.59,2087.94,2065.1,2044.09,2036.78
360.5000,2450.52,2334.2,1900.02,2082.88,2126.48,2131.43,2113.88,2083.36,2060.21,2038.88,2032.05
361.0000,2444.79,2328.04,1894.75,2077.38,2121.71,2126.28,2109.52,2078.95,2054.31,2033.48,2027.66
361.5000,2436.05,2319.76,1888.44,2070.66,2115.46,2119.44,2102.94,2072.21,2047.4,2026.74,2021.69
362.0000,2428.91,2312.03,1882.42,2063.89,2109,2113.45,2096.08,2065.79,2041.19,2020.45,2015.2
362.5000,2421.22,2304.64,1876.73,2058,2103.44,2107.44,2089.53,2059.38,2035.19,2014.1,2008.77
363.0000,2412.85,2296.72,1870.15,2050.4,2095.87,2099.6,2082.77,2052.52,2027.39,2006.28,2000.89
363.5000,2405.28,2288.99,1863.82,2042.85,2088.17,2092.68,2076.08,2045.49,2020.6,1999.06,1993.64
364.0000,2395.92,2280.01,1855.68,2033.5,2079.86,2083.74,2067.68,2037.43,2012.15,1991.12,1985.81
364.5000,2386.64,2271.1,1847.61,2025.64,2072.31,2075.82,2059.77,2029.21,2004.14,1983.37,1978.52
365.0000,2375.14,2259.5,1838.8,2015.29,2061.41,2065.78,2050.56,2019.17,1994.38,1973.66,1968.6
365.5000,2364.11,2248.03,1829.03,2005.8,2052.24,2054.88,2040.71,2010.12,1985.43,1963.87,1959.39
366.0000,2354.54,2237.96,1820.09,1997.28,2042.48,2044.72,2031.32,2000.89,1976.62,1955.04,1950.6
366.5000,2342.36,2226.75,1809.77,1986.16,2031.94,2033.51,2020.56,1990.21,1966.5,1944.35,1939.92
367.0000,2330.99,2215.35,1800.19,1976.72,2021.75,2023.29,2010.94,1980.12,1957.1,1934.67,1930.35
367.5000,2316.7,2200.49,1787.59,1963.71,2008.92,2010.57,1998.71,1967.06,1944.41,1921.76,1917.44
368.0000,2303.5,2186.87,1775.46,1951.35,1997.15,1997.79,1985.9,1954.9,1931.82,1909.64,1905.72
368.5000,2289.72,2174.24,1764.49,1940.21,1986.04,1986.7,1973.59,1943.96,1920.58,1898.74,1894.89
369.0000,2274.47,2160.04,1751.83,1927.31,1973.08,1973.95,1959.9,1930.84,1907.99,1885.89,1882.34
369.5000,2260.34,2146.27,1740.42,1914.51,1960.19,1961.67,1947.76,1918.92,1896.17,1873.83,1870.87
370.0000,2244.35,2130.03,1727.53,1901.24,1945.99,1947.59,1933.63,1904.98,1882.55,1859.86,1856.75
370.5000,2229.24,2115.82,1715.67,1888.63,1932.33,1933.95,1920.35,1892.35,1869.5,1847.1,1843.81
371.0000,2210.45,2098.21,1700.55,1872.77,1916.56,1918.28,1903.96,1876.61,1854.03,1831.85,1828.05
371.5000,2192.65,2081.07,1687.34,1857.83,1901.42,1903.09,1888.91,1861.18,1839.26,1817.8,1813.33
372.0000,2177.1,2065.35,1674.87,1843.95,1887.51,1888.79,1874.66,1847.18,1825.81,1803.62,1799.83
372.5000,2159.91,2047.88,1660.57,1828.21,1871.13,1873.32,1858.8,1831.66,1809.68,1788.31,1784.61
373.0000,2143.33,2031.45,1647.1,1813.73,1856.33,1858.55,1843.87,1817.67,1795.6,1774.27,1770.61
373.5000,2122.36,2010.75,1630.69,1795.81,1837.91,1840.68,1825.45,1799.99,1778.56,1756.72,1753.17
374.0000,2103.07,1992.15,1614.99,1780.13,1820.66,1823.88,1807.93,1783.44,1762.56,1740.6,1737.07
374.5000,2085.02,1974.58,1601.38,1765,1804.65,1808.17,1792.69,1767.64,1747.35,1725.91,1722.28
375.0000,2064.42,1955.79,1584.67,1748.31,1786.73,1790.23,1775.78,1751.02,1730.59,1709.35,1705.21
375.5000,2046.1,1937.91,1570.24,1732.64,1770.6,1774.38,1759.73,1735.41,1714.67,1693.26,1689.15
376.0000,2023.06,1916.14,1552.85,1714.17,1750.68,1755.42,1740.36,1715.7,1695.02,1674.15,1670.77
376.5000,2001.92,1896.26,1536.59,1695.91,1732.65,1737.51,1722.31,1697.97,1677.16,1656.3,1653.01
377.0000,1981.89,1878.14,1521.47,1679.62,1715.75,1720.19,1705.54,1681.62,1660.81,1640.4,1637.25
377.5000,1960.62,1857.55,1504.89,1660.86,1696.83,1701.01,1687.06,1662.77,1642.08,1622.45,1619.67
378.0000,1940.7,1838.05,1489.5,1643.99,1679.92,1683.74,1670.05,1645.71,1625.89,1606.04,1603.48
378.5000,1916.24,1814.36,1471.56,1623.21,1659.48,1662.74,1649.02,1624.96,1606.76,1586.46,1583.61
379.0000,1894.38,1794.03,1453.95,1604.86,1640.24,1643.86,1629.79,1606.31,1589,1569.06,1565.16
379.5000,1874.47,1775.05,1438.33,1588.37,1622.72,1626.3,1612.97,1589.7,1571.8,1552.45,1547.84
380.0000,1852.13,1753.64,1420.65,1569.02,1602.58,1606.18,1592.72,1570.32,1553.07,1534.44,1529.76
380.5000,1831.94,1734.35,1404.13,1551.57,1584.35,1588.34,1574.58,1552.57,1536.04,1517.27,1513.17
381.0000,1806.87,1711.01,1383.98,1530.52,1563.01,1566.26,1553.09,1531.66,1514.77,1496.64,1492.46
381.5000,1783.11,1688.65,1366.3,1511.52,1543.33,1546.55,1532.86,1512.88,1496.17,1477.81,1473.09
382.0000,1761.98,1668.76,1350.49,1493.92,1525.09,1528.52,1515.14,1495.43,1478.85,1460.55,1455.74
382.5000,1739.11,1646.76,1332.28,1474.44,1505.1,1508.16,1495.63,1475.89,1459.44,1441.55,1436.54
383.0000,1718.58,1626.2,1315.35,1456.84,1486.67,1489.73,1477.56,1457.55,1441.36,1424.28,1419.16
383.5000,1693.25,1602.78,1296.46,1434.81,1464.84,1468.02,1455.53,1435.39,1420.37,1403.31,1398.76
384.0000,1669.78,1581.13,1278.34,1414.71,1445,1448.43,1435.6,1415.78,1400.37,1384.27,1379.4
384.5000,1648.67,1561.23,1262.47,1396.73,1426.89,1430.81,1417.08,1398.22,1382.2,1367.16,1362.58
385.0000,1625.73,1539.87,1244.83,1376.56,1406.51,1410.77,1397.5,1378.53,1363.43,1347.85,1343.3
385.5000,1604.74,1520.49,1228.75,1358.59,1388.11,1392.42,1379.35,1360.78,1346.41,1330.51,1326.55
386.0000,1578.89,1497,1209.97,1337.55,1366.79,1371.52,1358.09,1339.34,1325.25,1309.26,1305.59
386.5000,1556.04,1475.1,1191.96,1317.83,1346.43,1350.9,1338.77,1319.79,1305.55,1290.04,1286.48
387.0000,1535.79,1455.11,1176.11,1300.68,1328.08,1332.63,1320.97,1302.08,1287.77,1272.8,1268.83
387.5000,1512.89,1432.95,1158.26,1281.36,1308.07,1312.57,1300.92,1282.36,1268.98,1253.57,1249.91
388.0000,1492.02,1413.1,1142.05,1263.89,1290.53,1294.65,1282.56,1264.75,1252.08,1236.88,1233.68
388.5000,1467.02,1389.8,1123.64,1243.01,1269.75,1273.24,1261.76,1243.95,1231.73,1215.99,1213.36
389.0000,1445.27,1368.47,1106.56,1223.8,1249.8,1253.74,1242.27,1225.09,1213.18,1197.42,1195.31
389.5000,1424.73,1349.35,1090.56,1205.97,1231.19,1236.14,1224.77,1207.9,1195.62,1180.24,1178.43
390.0000,1400.43,1326.1,1072.04,1185.61,1210.49,1214.79,1202.98,1187.42,1175.84,1159.81,1158.96
390.5000,1381.96,1308.85,1058.01,1170.17,1194.68,1198.19,1187.68,1171.91,1160.81,1144.72,1143.6
391.0000,1358.17,1286.71,1038.51,1149.7,1174.1,1176.47,1167.09,1150.06,1139.61,1124.94,1123.62
391.5000,1336.99,1266.01,1021.69,1131.39,1154.76,1157.45,1147.54,1131.91,1121.28,1106.46,1105.37
392.0000,1317.23,1247.41,1006.34,1114.53,1137.85,1140.28,1130.45,1115.49,1104.54,1090.05,1088.81
392.5000,1294.31,1225.13,988.342,1094.33,1117.85,1119.76,1109.79,1095.14,1084.38,1070.03,1069.28
393.0000,1276.09,1208.67,975.521,1079.21,1102.36,1104.1,1094.83,1079.98,1069.54,1055.41,1055
393.5000,1253.17,1186.62,957.137,1059.29,1082.37,1083.64,1074.39,1060.4,1050.52,1036.45,1035.68
394.0000,1232.23,1166.4,941.009,1040.75,1064.24,1065.51,1056.71,1042.79,1032.56,1018.81,1018.38
394.5000,1213.11,1148.16,926.164,1024.72,1047.55,1049.22,1040.81,1026.38,1016.23,1002.82,1002.33
395.0000,1189.78,1127.12,908.576,1005.82,1028.01,1029.73,1021.24,1007.32,997.984,983.988,983.63
395.5000,1169.22,1107.66,892.42,988.377,1009.81,1011.77,1003.39,989.898,980.713,966.569,967.225
396.0000,1150.88,1090.44,878.026,972.802,993.746,995.482,987.801,974.272,965.392,951.201,951.865
396.5000,1129.45,1069.2,861.01,953.869,974.671,976.5,968.448,956.039,946.456,932.758,933.952
397.0000,1113.48,1053.98,848.419,938.806,960.484,961.881,954.92,941.843,932.528,919.328,920.289
397.5000,1091.92,1033.72,831.985,920.338,941.944,942.89,936.835,923.296,914.612,901.265,902.639
398.0000,1072.15,1015.42,816.915,903.308,924.895,926.31,920.537,906.816,898.181,884.968,886.077
398.5000,1054.89,998.826,803.411,888.443,909.682,911.471,905.53,891.883,883.782,870.301,871.734
399.0000,1033.88,978.923,787.597,871.034,892.096,894.423,887.888,874.347,866.046,853.564,854.95
399.5000,1015.3,961.539,772.985,855.535,875.469,877.98,871.921,858.228,850.11,838.122,839.719
400.0000,998.57,945.624,760.123,841.344,860.467,863.198,857.37,843.889,835.723,824.106,825.958
400.5000,981.817,929.824,747.346,827.142,846.27,848.763,842.667,830.266,821.998,810.254,812.4
401.0000,963.87,912.647,733.36,811.535,830.389,833.252,826.991,815.224,806.826,795.834,797.414
401.5000,944.09,893.432,718.432,795.382,813.79,816.343,810.372,798.468,790.336,779.756,781.563
402.0000,926.26,876.384,705.13,780.247,798.813,800.935,795.363,783.349,775.487,764.71,766.766
