XYDATA,TRP_lipid-000_12-15-25-1,TRP_lipid-004_12-15-25-1,TRP_lipid-008_12-15-25-1,TRP_lipid-012_12-15-25-1,TRP_lipid-016_12-15-25-1,TRP_lipid-020_12-15-25-1,TRP_lipid-024_12-15-25-1,TRP_lipid-028_12-15-25-1,TRP_lipid-032_12-15-25-1,TRP_lipid-036_12-15-25-1,TRP_lipid-040_12-15-25-1
354.5000,3078.42,2936.63,2811.94,2608.52,2673.95,2660.27,2648.8,2616.81,2574.52,2543.77,2519.27
355.0000,3080.74,2939.61,2813.72,2610.23,2677.11,2662.52,2650.23,2619.09,2577.03,2546.26,2521.26
355.5000,3082.7,2941.8,2815.51,2612.66,2679.2,2665.2,2651.54,2620.6,2579.57,2548.14,2523.48
356.0000,3084.47,2942.74,2816.61,2613.88,2680.53,2666.57,2652.14,2621.1,2580.54,2548.57,2524.61
356.5000,3085.15,2943.14,2817.92,2614.92,2680.9,2667.46,2652.79,2622.35,2580.86,2548.19,2526.06
357.0000,3084.83,2942.55,2817.08,2615.08,2680.98,2667.54,2652.83,2622.26,2581.8,2547.6,2525.61
357.5000,3084.42,2942.41,2816.75,2614.61,2679.7,2667.45,2651.95,2621.79,2581.88,2547.03,2524.26
358.0000,3083.1,2940.45,2815.54,2612.93,2677.63,2666,2650.22,2620.79,2580.3,2545.49,2523.06
358.5000,3081.07,2938.08,2813.12,2610.81,2675.18,2664.55,2648.1,2618.93,2578.22,2542.99,2521.27
359.0000,3078.53,2934.95,2810.64,2608.83,2672.63,2661.86,2645.4,2616.72,2575.97,2540.56,2519.13
359.5000,3075.31,2931.26,2807.28,2605.69,2670.03,2658.61,2642.54,2613.4,2572.22,2537.29,2515.5
360.0000,3070.66,2928.42,2803.91,2602.12,2666.27,2655.09,2639.07,2610.56,2568.95,2534.71,2511.95
360.5000,3066.01,2923.52,2800.1,2597.87,2662.09,2651.44,2634.51,2605.9,2564.95,2530.93,2508.62
361.0000,3061.4,2918.33,2795.84,2593.78,2657.23,2647.6,2630.4,2601.32,2560.8,2526.31,2504.41
361.5000,3053.91,2911.9,2788.69,2586.83,2651.18,2641.69,2623.45,2594.32,2555.17,2520.99,2499.08
