XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
357.0000,2784.83,2776.62,2751.33,2729.37,2674.19,2649.13,2649.6,2623.08,2606.42,2570.04,2534.16
357.5000,2782.74,2775.04,2749.82,2727.29,2671.77,2647.73,2648.08,2621.22,2604.81,2568.75,2532.92
358.0000,2779.73,2771.8,2746.48,2724.44,2668.98,2644.49,2644.88,2618.93,2601.46,2565.61,2531.16
358.5000,2775.1,2768.24,2742.85,2720.89,2665.21,2640.46,2641.24,2615.09,2597.25,2562.11,2528.12
359.0000,2770.85,2764.47,2738.54,2717.7,2661.33,2636.94,2637.64,2611.43,2593.72,2559.13,2524.63
359.5000,2765.27,2759.82,2733.69,2713.08,2656.15,2631.99,2633.74,2606.89,2588.6,2554.71,2520.37
360.0000,2759.66,2754.66,2728.66,2708.03,2651.3,2627.36,2629.48,2602.02,2583.88,2550.02,2515.16
360.5000,2753.82,2748.51,2722.64,2701.79,2644.4,2621.59,2624.14,2596.41,2578.44,2544.46,2509.21
361.0000,2748.03,2742.48,2716.61,2695.62,2638.58,2615.26,2618.72,2590.34,2572.51,2538.92,2503.8
361.5000,2739.83,2734.51,2707.42,2687.06,2630.57,2606.84,2610.13,2583.53,2564.75,2532.14,2497.21
362.0000,2731.59,2726.64,2699.5,2678.5,2622.65,2599.52,2602.21,2574.71,2557.85,2524.18,2488.51
362.5000,2723.41,2718.71,2691.54,2670.91,2614.57,2592.4,2594.5,2567.3,2550.82,2516.96,2480.98
363.0000,2714,2709.15,2681.61,2661.93,2605.18,2583.69,2585.21,2558.52,2542.15,2508.01,2473
363.5000,2705.75,2700.4,2672.34,2652.65,2596.95,2574.83,2576.43,2549.5,2533.22,2499.97,2465.64
364.0000,2694.33,2689.63,2662.3,2642.05,2586.52,2564.91,2565.63,2539.8,2523.06,2490.1,2455.39
364.5000,2683.22,2679.47,2652.81,2631.65,2576.34,2555.03,2556.17,2530.34,2513.7,2480.44,2445.82
365.0000,2670.47,2666.56,2639.21,2619.55,2563.14,2541.44,2543.21,2518.73,2501.61,2467.95,2434.06
365.5000,2658.04,2653.45,2626.09,2606.73,2551.47,2529.12,2531.17,2506.67,2489.95,2456.57,2422.35
366.0000,2646.48,2640.73,2613.19,2594.94,2539.97,2517.54,2518.83,2495.49,2479.21,2445.08,2411.64
366.5000,2632.49,2627.27,2599.86,2581.2,2526.58,2503.89,2505.62,2481.93,2465.98,2432.31,2399.19
367.0000,2619.11,2613.77,2586.74,2568.37,2513.74,2491.94,2492.88,2469.82,2453.76,2420.47,2387.31
367.5000,2602.6,2597.27,2570.29,2551.87,2497.8,2476.16,2478.25,2453.91,2438.46,2405.6,2372.61
368.0000,2586.26,2581.65,2554.43,2536.36,2482.91,2460.71,2463.57,2439.03,2423.85,2391.12,2358.58
368.5000,2571.33,2565.91,2539.54,2522.12,2468.03,2447.12,2449.64,2424.87,2410.23,2377.82,2345.06
369.0000,2554.96,2548.98,2522.17,2504.98,2451.43,2430.55,2433.68,2408.94,2394.56,2361.62,2329.13
369.5000,2539.76,2532.89,2506.66,2488.51,2436.46,2415.54,2418.63,2394.06,2380.2,2346.74,2314.13
370.0000,2521.96,2514.61,2488.54,2470.35,2419.59,2398.58,2401.31,2376.58,2362.94,2330.05,2298.23
370.5000,2505.57,2497.66,2472.21,2453.99,2403.65,2383.08,2385.61,2360.86,2347.19,2315.26,2283.02
371.0000,2485.03,2477.32,2451.61,2433.52,2383.47,2363.57,2365.83,2340.94,2327.43,2296.33,2265.34
371.5000,2465.45,2457.69,2432.35,2413.38,2365.15,2344.87,2347.44,2322.24,2308.66,2278.56,2247.3
372.0000,2447.26,2439.79,2414.07,2394.73,2347.48,2327.36,2330.23,2305.55,2291.83,2262.12,2231.42
372.5000,2426.95,2419.18,2393.4,2374.33,2327.15,2308.19,2310.77,2285.92,2272.89,2243.49,2212.72
373.0000,2408.4,2400.43,2373.81,2355.81,2308.7,2289.79,2292.28,2268.16,2255.16,2226.28,2194.82
373.5000,2385.09,2376.69,2350.96,2333.48,2286.82,2267.83,2269.52,2245.55,2233.67,2204.95,2173.57
374.0000,2363.12,2355.3,2328.55,2312.03,2266.71,2246.68,2248.62,2224.59,2213.14,2185.09,2153.4
374.5000,2342.07,2335.16,2308.94,2291.84,2248.05,2227.42,2229.5,2205.61,2194.29,2167.15,2135.43
375.0000,2319.96,2312.35,2286.94,2269.44,2226.9,2205.86,2208.25,2183.93,2173.13,2146.5,2114.71
375.5000,2298.44,2291.17,2266.6,2249.02,2206.67,2186.01,2188.31,2163.6,2153.46,2126.98,2094.8
376.0000,2273.48,2266.2,2242.15,2224.82,2182.58,2161.81,2163.94,2140.08,2129.87,2103.05,2071.16
376.5000,2250.73,2241.88,2218.91,2201.42,2160.04,2139.33,2141.38,2117.42,2108.1,2081.34,2048.97
377.0000,2229.04,2219.88,2197.45,2179.31,2139.52,2119.15,2120.61,2096.63,2087.7,2060.77,2028.65
377.5000,2205.28,2194.86,2173.42,2154.79,2115.66,2095.81,2096.98,2073.67,2065.05,2038.31,2007.65
378.0000,2183.57,2172.94,2151.08,2132.76,2094.52,2074.48,2076.2,2052.72,2043.92,2017.32,1987.67
378.5000,2155.95,2145.46,2124.64,2106.98,2069.04,2049.76,2050.06,2027.11,2017.68,1992.19,1962.61
379.0000,2131.27,2119.88,2100.68,2083.12,2045.82,2025.49,2026.02,2004.01,1994.87,1969.58,1939.9
379.5000,2109,2096.85,2078.06,2060.97,2023.53,2004.02,2004.66,1982.09,1972.79,1948.61,1918.97
380.0000,2083.54,2071.35,2053.13,2035.65,1999.35,1979.51,1980.53,1958.31,1948.91,1925.37,1896
380.5000,2060.34,2048.82,2030.69,2012.44,1976.99,1957.17,1958.39,1936.1,1927.09,1903.79,1875.21
381.0000,2032.52,2020.61,2003.37,1984.99,1950.01,1930.19,1932.5,1910.09,1900.84,1878.53,1849.8
381.5000,2007.03,1994.92,1977.64,1959.64,1925.15,1905.3,1908.09,1885.66,1876.85,1854.79,1826.56
382.0000,1984.15,1972.2,1954.64,1936.57,1902.61,1883.43,1885.72,1863.51,1854.75,1833.4,1805.32
382.5000,1958.99,1946.15,1929.07,1910.93,1878.34,1859.13,1861.36,1839.68,1829.93,1810.26,1782.13
383.0000,1935.59,1922.8,1906.44,1888.16,1855.76,1837.44,1839.3,1817.12,1807.96,1789.43,1760.81
383.5000,1906.7,1894.3,1878.91,1859.91,1827.92,1809.71,1812.65,1790.6,1781.47,1763.08,1735
384.0000,1881.34,1867.75,1853.09,1835.43,1803.32,1785,1787.92,1766.57,1756.96,1739.53,1711.3
384.5000,1858.54,1844.01,1829.75,1812.54,1780.63,1762.55,1765.71,1744.83,1734.96,1717.47,1689.5
385.0000,1832.67,1818.33,1804.09,1787.23,1755.76,1738.12,1740.38,1719.96,1710.72,1693.07,1665.43
385.5000,1808.47,1795.31,1780.64,1764.57,1733.41,1716.28,1718.07,1697.88,1689.09,1671.46,1643.6
386.0000,1780.46,1767.06,1752.13,1736.81,1705.6,1689.8,1691.14,1672.4,1662.54,1645.1,1617.41
386.5000,1754.66,1741.65,1726.99,1712,1681.01,1665.09,1666.38,1648.02,1638.41,1620.55,1594.38
387.0000,1730.98,1718.37,1703.68,1689.43,1658.58,1643.06,1644.07,1625.89,1616.13,1598.8,1573.33
387.5000,1705.47,1693.68,1679.07,1665.03,1634.22,1618.73,1619.48,1601.74,1592.36,1574.87,1550.25
388.0000,1682.39,1670.99,1655.92,1641.79,1611.47,1596.58,1597.57,1580.43,1570.65,1553.91,1529.09
388.5000,1654.61,1643.21,1628.79,1615.34,1584.68,1569.96,1571.07,1555.01,1544.73,1527.48,1503.53
389.0000,1629.27,1617.89,1602.89,1590.52,1560.06,1545.85,1547.4,1531.08,1521.48,1503.65,1480.52
389.5000,1606.36,1594.81,1579.76,1568.71,1537.61,1523.87,1525.35,1509.22,1500.22,1482.96,1458.75
390.0000,1579,1567.77,1552.79,1541.54,1511.93,1498.12,1500.23,1482.62,1473.98,1457.44,1433.16
390.5000,1557.97,1546.89,1533.07,1521.4,1492.45,1479,1481.2,1463.26,1454.39,1438.32,1414.8
391.0000,1530.79,1520.24,1506.5,1494.95,1466.19,1453.04,1455.42,1437.52,1428.89,1412.99,1389.4
391.5000,1506.21,1495.68,1482.21,1470.38,1442.72,1429.81,1432.07,1414.66,1405.48,1390.5,1366.83
392.0000,1483.36,1473.27,1460.78,1448.96,1420.67,1409.42,1410.65,1393.96,1384.91,1369.51,1346.12
392.5000,1457.38,1446.76,1434.42,1422.83,1394.69,1384.23,1385.1,1368.52,1360.07,1344.6,1321.98
393.0000,1437.15,1427.29,1415.09,1403.19,1375.65,1365.1,1365.86,1350,1341.69,1326.06,1303.71
393.5000,1410.4,1401.33,1389.15,1378.05,1350.77,1340.58,1340.29,1325.61,1317.02,1302.61,1280.57
394.0000,1386.76,1378.13,1365.43,1354.41,1327.89,1317.7,1317.94,1302.9,1294.78,1281.21,1259.24
394.5000,1365.09,1356.81,1344.48,1333.69,1306.94,1297.19,1297.51,1283.01,1274.71,1261.6,1240.1
395.0000,1339.53,1331.38,1318.96,1308.71,1282.42,1272.97,1273.55,1259.57,1251.12,1238.01,1216.61
395.5000,1316.1,1308.65,1296.28,1286.73,1260.14,1251.11,1251.7,1237.68,1229.76,1217.07,1195.32
396.0000,1294.91,1287.39,1276.08,1266.18,1240,1231.04,1232.35,1218.63,1211.1,1198.32,1176.84
396.5000,1269.62,1263.59,1251,1241.74,1215.85,1207.36,1208.97,1195.59,1188.62,1175.61,1154.93
397.0000,1251.42,1245.26,1233.4,1224.08,1198.41,1189.9,1190.57,1178.32,1172.08,1158.74,1138.34
397.5000,1227.22,1221.44,1209.48,1200.51,1174.77,1167.45,1167.75,1155.13,1149.45,1136.38,1116.4
398.0000,1205.51,1199.45,1188.17,1179.57,1154.13,1146.71,1146.67,1135.09,1128.55,1116.12,1096.54
398.5000,1185.92,1179.81,1168.33,1160.66,1134.6,1128.47,1127.73,1116.84,1110.23,1097.79,1078.54
399.0000,1162.43,1157.13,1144.88,1138.29,1112.34,1106.76,1105.15,1094.83,1088.4,1076.79,1057.08
399.5000,1140.82,1135.52,1123.87,1117.15,1091.96,1086.5,1085.17,1074.6,1068.75,1056.93,1037.37
