XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1
369.5000,2059.53,2101.03,2066,2043.64,1985.33,1941.1,1905.3
370.0000,2043.95,2086.35,2050.8,2028.46,1969.65,1926.24,1890.3
370.5000,2029.58,2071.54,2036.56,2014.51,1955.43,1912.3,1876.31
371.0000,2013.33,2053.3,2018.08,1997.13,1938.22,1895.85,1858.6
371.5000,1997.64,2036.57,2000.81,1979.67,1922.1,1879.82,1842.69
372.0000,1983.46,2021.62,1986.36,1963.77,1907.24,1864.52,1827.97
372.5000,1966.67,2004,1969.61,1946.31,1890.13,1847.08,1810.76
373.0000,1951.08,1987.66,1953.96,1929.52,1873.63,1830.61,1795.02
373.5000,1932.02,1967.65,1934.17,1909.66,1854.84,1811.83,1775.78
374.0000,1914.62,1948.95,1916.39,1891.33,1837.16,1794.47,1757.75
374.5000,1898.4,1931.3,1899.99,1874.16,1820.65,1777.34,1741.57
375.0000,1879.2,1912.15,1880.81,1854.69,1801.61,1759.64,1722.82
375.5000,1862.49,1895.06,1863.37,1836.69,1783.68,1742.75,1706.32
376.0000,1842.36,1873.37,1842.03,1815.68,1763.43,1722.99,1686.65
376.5000,1823.76,1853.15,1822.6,1796.12,1744.19,1704.04,1667.93
377.0000,1806.87,1834.84,1804.33,1777.82,1726.7,1686.18,1650.76
377.5000,1787.21,1814.56,1784.11,1757.92,1707.06,1666.58,1632.04
378.0000,1769.44,1795.67,1765.52,1739.57,1689.13,1649.15,1614.9
378.5000,1747.74,1772.25,1742.48,1717.16,1667.55,1627.28,1593.57
379.0000,1727.05,1751.12,1721.89,1696.45,1647.2,1607.43,1573.78
379.5000,1708.76,1732.12,1703.49,1677.79,1628.97,1588.97,1555.77
380.0000,1688.18,1710.61,1682.59,1657.08,1608.49,1569.06,1536.47
380.5000,1668.98,1691.63,1663.35,1638.37,1589.61,1550.41,1518.43
381.0000,1646.31,1668.2,1639.96,1616.25,1567.24,1528.41,1496
381.5000,1625.03,1646.43,1618.28,1594.91,1546.45,1507.98,1475.75
382.0000,1605.76,1627,1599,1576.45,1527.24,1489.72,1457.47
382.5000,1584.55,1606.09,1577.86,1555.57,1506.71,1469.3,1437.63
383.0000,1565.51,1586.74,1558.56,1536.56,1488.48,1450.78,1419.43
383.5000,1543.11,1562.73,1534.98,1513.11,1466.38,1428.7,1397.94
384.0000,1522.74,1541.32,1513.78,1491.93,1445.41,1408.02,1378.38
384.5000,1503.41,1521.5,1494.33,1473.52,1426.72,1389.64,1359.75
385.0000,1482.56,1500.05,1473.65,1452.76,1406.79,1369.61,1340.28
385.5000,1463.6,1480.61,1454.29,1433.52,1387.84,1351.67,1322.51
386.0000,1440.85,1456.75,1431.57,1410.85,1365.85,1330.49,1301.08
386.5000,1419.43,1435.23,1410.41,1389.63,1345.67,1310.79,1281.31
387.0000,1400.23,1415.72,1391.27,1370.98,1326.94,1292.42,1263.53
387.5000,1379.23,1393.96,1370.47,1350.22,1306.97,1272.53,1243.81
388.0000,1360.02,1374.68,1351.35,1330.83,1288.66,1254.38,1226.55
388.5000,1337.71,1351.75,1328.65,1308.03,1267.23,1233.15,1205.73
389.0000,1316.48,1330.81,1308.3,1287.91,1247.55,1212.99,1186.45
389.5000,1297.59,1311.81,1289.08,1269.95,1229.36,1195.27,1168.82
390.0000,1274.84,1288.24,1266.56,1247.79,1207.36,1174.06,1148.23
390.5000,1257.87,1271.68,1249.66,1231.4,1191.6,1158.27,1132.92
391.0000,1236.05,1249.37,1227.84,1210.32,1170.33,1138.38,1113.5
391.5000,1215.89,1229.58,1207.97,1190.59,1150.72,1119.81,1095.22
392.0000,1197.72,1211.71,1189.62,1172.98,1132.92,1103.08,1078.43
392.5000,1176.44,1190.16,1167.62,1151.82,1112.27,1082.81,1058.65
393.0000,1160.42,1173.67,1151.58,1136.76,1096.79,1067.72,1043.99
393.5000,1139.52,1152.52,1131.28,1115.88,1076.51,1048.13,1024.2
394.0000,1119.29,1133.41,1112.39,1096.83,1057.75,1030.14,1006.41
394.5000,1101.68,1115.89,1095.32,1079.4,1041.36,1013.73,990.271
395.0000,1081.41,1095.02,1074.89,1058.76,1021.62,994.673,971.615
395.5000,1062.76,1076.98,1056.39,1040.06,1003.77,977.48,954.823
396.0000,1045.91,1060.04,1040.2,1022.92,988.1,961.75,938.964
396.5000,1026.26,1040.17,1020.97,1003.43,968.821,943.075,921.054
397.0000,1011.61,1025.91,1006.06,989.199,955.219,929.156,907.172
397.5000,992.231,1005.67,986.253,969.614,936.738,910.746,889.864
398.0000,974.85,987.775,968.607,952.107,919.922,894.516,873.761
398.5000,959.165,971.484,952.839,936.084,904.696,879.8,859.416
399.0000,939.853,952.637,933.773,917.464,886.662,862.033,842.571
399.5000,922.94,935.328,916.931,900.3,870.433,845.912,827.219
400.0000,908.174,919.635,901.431,884.941,855.954,831.547,812.912
400.5000,893.132,904.04,886.535,869.935,841.47,817.801,799.346
401.0000,876.453,887.242,870.353,853.701,825.503,802.633,784.181
401.5000,858.161,869.216,852.862,836.361,808.238,786.633,768.107
402.0000,842.331,853.174,837.05,820.723,793.294,772.022,753.703
402.5000,827.575,838.525,822.623,806.288,779.356,758.975,740.706
403.0000,810.371,821.365,806.042,789.418,763.523,743.025,725.431
403.5000,794.921,806.087,790.229,774.479,748.711,728.459,711.716
404.0000,781.158,792.072,775.967,760.894,735.707,715.626,699.307
404.5000,767.598,778.264,762.44,747.642,722.694,703.079,686.701
405.0000,752.799,763.64,747.463,733.283,708.38,689.191,673.622
405.5000,737.122,747.284,731.461,718.059,693.251,674.645,659.435
406.0000,724.299,734.58,718.782,705.133,680.944,662.885,647.336
406.5000,710.211,720.38,704.867,690.983,667.379,649.896,634.165
407.0000,695.317,704.738,689.808,675.965,653.166,635.745,620.533
407.5000,681.746,691.206,676.081,662.633,640.432,623.505,608.326
408.0000,669.561,678.93,663.773,650.457,629.086,612.173,597.801
408.5000,655.669,664.206,649.752,636.281,615.129,598.664,584.615
409.0000,644.962,653.322,639.104,625.812,604.466,588.792,574.828
409.5000,630.598,639.079,625.475,612.07,591.228,575.498,562.459
410.0000,619.111,627.645,614.016,600.959,580.562,565.179,552.02
410.5000,606.85,615.113,601.581,588.676,568.997,553.997,540.709
411.0000,593.476,601.046,587.697,576.145,556.637,541.481,528.742
411.5000,582.536,590.177,576.886,565.32,546.482,531.085,519.062
412.0000,570.677,578.329,565.113,553.851,535.28,520.035,508.605
412.5000,557.93,565.896,552.257,541.947,523.096,508.638,496.969
413.0000,546.948,554.358,540.941,530.727,512.442,498.004,487.001
413.5000,536.468,543.817,530.929,521.021,502.739,488.563,477.826
414.0000,524.396,531.708,518.4,509.341,491.731,477.657,466.956
414.5000,515.61,522.254,509.218,500.473,483.238,469.652,458.975
415.0000,503.845,510.609,497.918,489.501,472.37,459.316,448.292
415.5000,494.403,500.962,488.523,480.56,463.334,450.794,439.516
416.0000,483.922,490.433,478.04,470.686,453.706,441.433,430.551
416.5000,472.93,478.881,467.1,459.963,443.754,431.889,420.522
417.0000,463.984,469.862,457.769,451.387,435.48,423.901,412.513
417.5000,453.727,459.935,448.442,441.953,426.7,415.308,404.071
418.0000,442.999,449.308,437.705,431.494,416.824,405.582,394.773
418.5000,434.314,440.81,429.346,423.29,409.159,397.581,387.252
419.0000,424.999,431.189,420.181,414.606,400.887,388.929,378.958
419.5000,414.787,421.351,410.296,405.215,391.519,379.706,370.245
420.0000,406.159,412.121,401.595,396.443,382.973,371.863,362.394
420.5000,398.486,403.72,393.404,388.694,375.501,364.87,355.315
421.0000,389.311,394.342,384.153,379.491,367.032,356.33,347.054
421.5000,382.459,387.401,377.672,372.815,360.708,350.218,340.961
422.0000,373.748,378.31,368.777,364.174,352.51,342.396,333.277
422.5000,365.04,369.207,360.138,355.73,344.802,334.732,325.383
423.0000,358.637,362.849,353.757,349.326,339.059,328.791,319.523
423.5000,350.146,354.149,345.287,341.013,331.189,320.819,312.139
424.0000,343.339,346.987,338.517,334.353,324.683,314.665,306.183
424.5000,335.527,339.702,331.26,327.012,317.779,308.139,299.72
425.0000,327.654,331.573,323.455,319.311,310.277,300.758,292.684
425.5000,321.156,325.045,317.085,312.899,304.369,294.945,286.754
426.0000,313.972,317.783,309.884,306.103,297.875,288.675,280.594
426.5000,306.417,310.313,302.408,298.876,290.844,281.743,273.694
427.0000,300.297,304.074,296.207,292.809,285.155,276.513,268.18
427.5000,293.701,297.209,289.782,286.443,279.04,270.17,262.439
428.0000,286.301,290.02,282.945,279.506,272.44,263.632,256.382
428.5000,280.719,284.467,277.258,273.685,267.224,258.539,251.142
429.0000,274.863,278.046,271.032,267.59,261.43,252.83,245.505
429.5000,268.221,271.416,264.502,261.124,255.348,247.066,239.595
