XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1
361.5000,2962.57,2873.81,2799.2,2755.68,2701.63,2700.74,2654.59
362.0000,2955.59,2867.74,2792.03,2749.73,2693.62,2694.31,2647.84
362.5000,2948.46,2860.85,2785.42,2743.15,2686.56,2687.81,2641.2
363.0000,2939.52,2852.61,2777.3,2735.88,2678.74,2680.44,2633.4
363.5000,2931.86,2844.33,2769.16,2728.83,2671.07,2673.82,2625.7
364.0000,2922.04,2835.83,2759.23,2719.33,2661.78,2665.52,2616.93
364.5000,2912.87,2826.74,2749.01,2710.76,2652.91,2656.86,2608.15
365.0000,2901.03,2814.02,2737.45,2698.87,2642.32,2645.75,2597.23
365.5000,2888.87,2803.01,2725.95,2686.99,2630.44,2634.78,2586.51
366.0000,2877.02,2792.25,2714.53,2675.94,2619.54,2624.62,2576.09
366.5000,2863.73,2779.35,2701.86,2663.78,2606.8,2612.25,2564.98
367.0000,2850.92,2767.98,2690.19,2652.05,2594.89,2600.48,2554.39
367.5000,2834.53,2752.56,2675.2,2637.67,2581.24,2586.08,2539.94
368.0000,2819.78,2737.2,2661.51,2623.14,2567.77,2571.14,2526.21
368.5000,2805.41,2723.1,2647.45,2609.32,2554.26,2557.31,2512.37
369.0000,2789.34,2706.7,2631.52,2594.1,2540.04,2542.09,2497.74
369.5000,2774.35,2691.93,2616.91,2578.87,2526.5,2528.11,2484.01
370.0000,2756.71,2674.92,2600.18,2561.79,2511,2512.45,2469.09
370.5000,2740.37,2659.3,2584.75,2546.76,2496.62,2497.29,2454.72
371.0000,2719.91,2638.63,2564.8,2527.48,2477.79,2478.42,2436.89
371.5000,2701.35,2620.44,2545.7,2509.42,2459.76,2461.37,2419.75
372.0000,2683.15,2602.46,2528.24,2492.84,2443.71,2445.2,2403.57
372.5000,2662.57,2582.27,2508.79,2472.58,2424.81,2427.43,2384.84
373.0000,2643.46,2563.61,2490.43,2455.08,2406.85,2410.67,2367.84
373.5000,2619.6,2540.85,2468.88,2433.46,2385.2,2388.46,2346.25
374.0000,2596.96,2519.72,2448.75,2413.61,2365.35,2368.35,2326.52
374.5000,2576.84,2499.82,2429.97,2395.69,2347.37,2350.14,2307.63
375.0000,2553.51,2476.87,2408.53,2374.35,2326.47,2329.44,2287.22
375.5000,2531.76,2455.7,2388.69,2354.27,2307.4,2309.73,2267.65
376.0000,2505.7,2430.21,2364.49,2330.85,2283.59,2285.46,2244.1
376.5000,2481.28,2406.55,2342.05,2308.53,2262.11,2262.68,2222.15
377.0000,2458.7,2385.59,2321.37,2287.94,2241.37,2242.27,2202.42
377.5000,2434.07,2361.35,2298.6,2264.26,2218.45,2220.49,2180.17
378.0000,2410.89,2338.75,2277.05,2243.43,2198.01,2199.39,2159.95
378.5000,2383.57,2311.7,2250.72,2217.68,2172.78,2174.9,2136.03
379.0000,2358.17,2285.77,2226.25,2194.01,2149.56,2152.11,2113.49
379.5000,2334.91,2262,2203.76,2173.24,2128.33,2131.03,2092.67
380.0000,2309.04,2235.71,2179.36,2148.24,2105.12,2107.37,2069.63
380.5000,2285.54,2212.37,2156.6,2125.86,2083.45,2085.89,2048.39
381.0000,2255.83,2184.59,2129.13,2099.11,2056.26,2058.47,2022.65
381.5000,2229.04,2158.35,2104.85,2074.42,2031.87,2034.04,1999.41
382.0000,2204.62,2134.44,2082.02,2052.34,2009.56,2011.75,1977.61
382.5000,2177.16,2108.78,2057.27,2027.25,1985.67,1987.45,1954.26
383.0000,2152.86,2085.19,2034.47,2005.69,1963.24,1965.11,1932.2
383.5000,2123.15,2056.44,2006.91,1978.83,1937.25,1938.17,1906.05
384.0000,2096.61,2030.36,1981.22,1953.65,1911.54,1913.99,1882.39
384.5000,2072.71,2006.61,1957.27,1930.62,1889.06,1891.86,1859.29
385.0000,2045.07,1980.13,1931.63,1905.56,1865.02,1867.33,1834.7
385.5000,2020.43,1956.12,1907.92,1882.05,1842.07,1844.59,1812.91
386.0000,1990.99,1927.19,1879.65,1854.58,1814.65,1817.01,1786.63
386.5000,1963.37,1901.12,1853.82,1829.82,1789.62,1792.16,1762.77
387.0000,1938.59,1877.07,1830.48,1806.9,1766.23,1768.63,1740.45
387.5000,1910.82,1850.93,1805.08,1782.16,1741.27,1743.6,1716.36
388.0000,1886.62,1826.88,1781.74,1759.52,1718.4,1720.96,1694.12
388.5000,1857.16,1798.32,1754.41,1732.32,1691.43,1694.66,1667.9
389.0000,1829.89,1772.56,1729.07,1707.52,1667.63,1669.87,1643.96
389.5000,1805.59,1748.61,1706.72,1685.16,1645.39,1647.3,1622.37
390.0000,1776.43,1720.81,1678.46,1658.09,1618.66,1620.28,1596.31
390.5000,1754.84,1700.15,1657.63,1638.77,1598.96,1600.53,1577.31
391.0000,1726.85,1671.44,1629.72,1611.29,1573.2,1574.67,1552.01
391.5000,1700.71,1645.7,1604.58,1586.01,1549.24,1551.36,1527.94
392.0000,1677,1622.86,1581.69,1563.46,1527.32,1529.69,1506.58
392.5000,1649.04,1595.24,1554.36,1536.51,1501.45,1503.44,1481.8
393.0000,1628.41,1575.35,1534.94,1517.28,1481.84,1484.57,1463.33
393.5000,1600.71,1547.82,1508.75,1491.42,1455.76,1459.02,1438.34
394.0000,1574.83,1523.46,1484.37,1467.91,1432.38,1436.25,1415.17
394.5000,1551.91,1502.06,1462.76,1446.53,1410.99,1415.97,1394.05
395.0000,1524.16,1475.28,1436.55,1421.19,1387,1390.82,1369.59
395.5000,1499.55,1450.66,1413.27,1398.63,1364.46,1368.35,1347.47
396.0000,1477.11,1429.28,1391.89,1377.94,1344.11,1348.17,1327.04
396.5000,1450.39,1403.97,1366.89,1352.8,1319.64,1324.13,1303.39
397.0000,1429.84,1385.29,1347.95,1333.77,1300.7,1306.56,1286.11
397.5000,1403.66,1360.1,1323.4,1309.05,1277.28,1282.57,1262.63
398.0000,1379.7,1337.28,1300.89,1287.21,1255.68,1260.97,1241.45
398.5000,1357.76,1316.02,1280.29,1267.03,1237.11,1241.51,1223
399.0000,1332.58,1291.77,1256.49,1242.92,1214.15,1218.93,1200.15
399.5000,1309.75,1268.93,1234.99,1221.15,1192.93,1198.39,1179.52
400.0000,1288.93,1248.43,1215.86,1201.69,1174.21,1179.5,1160.63
400.5000,1268.56,1228.16,1196.32,1182.4,1155.91,1160.49,1142.01
401.0000,1245.76,1206.18,1175.48,1160.85,1135.58,1140.02,1122.54
401.5000,1221.71,1182.76,1152.76,1138.85,1113.29,1117.73,1100.58
402.0000,1199.48,1161.68,1131.79,1118.66,1094.29,1098.09,1081.23
402.5000,1180.51,1142.74,1113.25,1100.45,1076.38,1080.08,1064.34
403.0000,1157.31,1120.48,1091.4,1079.45,1055.37,1059.29,1043.58
403.5000,1136.27,1101.03,1071.79,1060.39,1036.52,1040.23,1024.85
