XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7
430.5000,273.792,269.41,262.344,259.322,247.684,256.475,252.041
431.0000,267.073,263.072,256.014,253.052,241.8,250.391,246.188
431.5000,261.784,257.875,250.767,247.873,236.861,245.322,241.115
432.0000,256.238,252.365,245.218,242.363,231.702,239.779,235.634
432.5000,249.964,246.267,239.459,236.527,225.898,234.006,229.853
433.0000,245.051,241.085,234.629,231.644,221.449,229.371,224.931
433.5000,239.588,235.719,229.26,226.431,216.569,224.264,219.892
434.0000,233.456,230.002,223.697,220.868,211.278,218.904,214.659
434.5000,228.469,225.383,219.199,216.429,206.88,214.589,210.369
435.0000,223.243,220.364,214.345,211.635,202.187,209.668,205.767
435.5000,217.718,214.954,209.167,206.332,197.459,204.497,200.719
436.0000,213.324,210.423,204.93,202.152,193.617,200.285,196.483
436.5000,208.499,205.781,200.32,197.374,189.184,195.981,192.192
437.0000,203.357,200.924,195.253,192.398,184.799,191.332,187.527
437.5000,199.235,196.946,191.278,188.49,180.88,187.61,183.434
438.0000,194.743,192.433,186.78,184.337,176.597,183.499,178.938
438.5000,189.923,187.728,182.32,179.763,172.25,178.898,174.687
439.0000,186.073,183.817,178.573,175.982,168.606,175.455,171.074
439.5000,181.635,179.909,174.594,171.93,164.665,171.408,167.015
440.0000,177.307,175.188,170.341,167.82,160.682,167.118,162.92
440.5000,173.546,171.581,166.863,164.273,157.387,163.564,159.607
441.0000,169.618,167.634,163.108,160.267,153.827,159.891,155.929
441.5000,165.373,163.482,158.997,156.112,150.009,155.872,152.099
442.0000,161.967,159.985,155.565,152.743,147.05,152.741,149.131
442.5000,158.333,156.453,151.99,148.988,143.938,149.201,145.848
443.0000,154.383,152.39,148.137,145.393,140.541,145.124,142.374
443.5000,151.179,149.197,145.089,142.427,137.585,142.12,139.421
444.0000,147.619,145.707,141.604,139.005,134.322,138.64,135.995
444.5000,144.201,142.105,138.319,135.633,131.365,135.388,132.665
445.0000,140.582,138.565,134.874,132.162,128.007,131.98,129.48
445.5000,137.615,135.51,132.228,129.531,125.294,129.109,126.726
446.0000,134.445,132.111,128.971,126.574,122.507,126.214,123.769
446.5000,131.041,128.626,125.752,123.331,119.309,123.15,120.461
447.0000,128.253,125.851,123.049,120.695,116.934,120.598,117.972
447.5000,125.251,122.855,120.154,117.883,114.219,117.764,115.258
448.0000,122.03,119.813,117.195,114.974,111.299,114.826,112.306
448.5000,119.515,117.433,114.648,112.581,108.938,112.427,110.127
449.0000,116.618,114.672,111.91,109.972,106.368,109.888,107.559
449.5000,113.5,111.616,109.074,107.369,103.725,107.125,104.785
450.0000,111.085,109.243,106.702,104.989,101.643,104.875,102.758
