XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
337.0000,1691.14,1593.85,1566.41,1543.12,1481.29,1565.75,1518.83,1577.83,1544.26,1557.96,1592.87
337.5000,1717.34,1618.03,1590.33,1566.79,1504,1589.72,1542.35,1601.97,1568.04,1581.43,1617.59
338.0000,1735.67,1636.12,1608.14,1584.23,1520.34,1607.34,1559.26,1619.15,1585.54,1599.02,1635.37
338.5000,1760.19,1658.92,1630.04,1606.86,1540.93,1629.23,1580.92,1642.35,1607.52,1620.87,1658.21
339.0000,1780.54,1677.53,1648.45,1624.42,1557.82,1648.26,1599.83,1661.24,1625.56,1639.87,1676.68
339.5000,1801.31,1697.45,1668.05,1643.21,1576.42,1667.7,1619.57,1680.85,1644.83,1659.46,1697.07
340.0000,1819.83,1715.37,1685.25,1660.37,1592.77,1685.05,1637.02,1698.71,1661.96,1676.94,1715.03
340.5000,1840.03,1734.53,1704.09,1678.29,1610.45,1704.17,1655.1,1718.28,1679.95,1696.19,1734.83
341.0000,1857.3,1750.87,1719.57,1694.57,1625.67,1720.26,1670.78,1734.76,1695.71,1712.6,1750.39
341.5000,1876.76,1768.29,1736.42,1711.32,1641.52,1737.6,1687.87,1752.78,1712.85,1729.96,1768.27
342.0000,1896.14,1787.01,1754.09,1728.84,1658.32,1755.1,1706.55,1770.9,1731.43,1747.52,1787.01
342.5000,1910.42,1800.56,1766.92,1741.42,1670.37,1768.46,1719.41,1784.13,1744.73,1760.75,1800.52
343.0000,1927.85,1817.68,1783.86,1757.89,1686.13,1785.19,1735.37,1801.11,1760.99,1777.85,1817.55
343.5000,1942.25,1831.5,1797.41,1770.5,1697.94,1798.74,1748.29,1814.75,1773.88,1790.99,1831.23
344.0000,1957.24,1845.5,1810.97,1783.98,1711.54,1812.93,1762.06,1829.19,1787.68,1805.71,1845.73
344.5000,1970.1,1857.5,1823.65,1796.3,1722.48,1825.38,1774.07,1841.67,1799.64,1817.27,1858.87
345.0000,1984.04,1870.48,1835.66,1808.84,1734.4,1838.32,1786.06,1855.17,1812.5,1829.64,1872.28
345.5000,1996.11,1881.44,1846.16,1819.8,1744.63,1849.41,1796.83,1866.26,1823.46,1840.62,1883.39
346.0000,2008.11,1892.57,1857.73,1831.28,1755.57,1861.46,1808.22,1877.65,1834.97,1851.84,1896.01
346.5000,2020.62,1904.67,1868.95,1842.98,1766.87,1872.84,1819.13,1889.44,1845.94,1862.88,1908.69
347.0000,2030.38,1914.05,1878.32,1851.8,1775.17,1882,1827.51,1898.25,1855.17,1872.12,1917.73
347.5000,2041.4,1923.87,1887.08,1860.36,1783.86,1891.78,1837.2,1907.86,1865.32,1881.94,1926.82
348.0000,2049.83,1932.01,1895.16,1867.84,1790.9,1900.29,1845.28,1915.81,1873.42,1889.43,1934.85
348.5000,2058.91,1940,1902.67,1875.48,1798.49,1909.05,1853.18,1923.47,1881.31,1897.91,1943.33
349.0000,2065.86,1946.5,1908.54,1882.43,1805.19,1915.93,1860,1930.74,1887.89,1904.94,1950.65
349.5000,2072.34,1953.55,1915.32,1889.77,1811.56,1922.49,1867.65,1938.5,1894.84,1911.77,1958.22
350.0000,2079.07,1960.45,1922.65,1896.05,1817.49,1929.04,1874.42,1945.84,1902.19,1918.79,1965.41
350.5000,2084.1,1966.2,1927.61,1900.9,1822.24,1933.28,1879.5,1950.9,1907.68,1923.91,1969.95
351.0000,2089.59,1970.85,1932.79,1905.95,1826.98,1937.9,1884.92,1955.56,1912.93,1929.29,1975.14
351.5000,2093.87,1974.16,1936.05,1909.94,1830.01,1942.22,1887.81,1959.51,1917.09,1933.54,1979.29
352.0000,2098.24,1978.63,1939.15,1913.62,1833.68,1946.22,1891.52,1964.03,1921.22,1936.88,1983.55
352.5000,2101.53,1981.49,1942.31,1916.57,1837.17,1949.31,1894.2,1967.2,1924.76,1940.53,1986.51
353.0000,2104.2,1983.98,1945.17,1919.15,1839.89,1951.91,1897.53,1970.14,1927.63,1943.38,1989.37
353.5000,2106.65,1986.08,1947.13,1921.13,1841.28,1954.22,1899.24,1972.29,1929.65,1945.06,1991.67
354.0000,2109.21,1987.84,1949.03,1923.5,1841.66,1956.78,1901.01,1974.15,1931.35,1947.02,1994.06
354.5000,2110.19,1989.04,1949.97,1924.86,1842.09,1958.45,1902.16,1975.46,1931.4,1948.94,1995.36
355.0000,2111.23,1989.43,1950.39,1925.3,1842.03,1958.78,1902.47,1976.05,1931.2,1949.47,1996.53
355.5000,2110.79,1989.43,1950.44,1925.2,1841.8,1959.07,1902.17,1976.4,1931.43,1949.6,1996.73
356.0000,2110.36,1989.03,1950.21,1924.32,1841.01,1958.72,1901.8,1976,1931.21,1949.64,1996.27
356.5000,2109.19,1987.9,1949.72,1923.45,1840.95,1959.01,1900.86,1975.21,1930.82,1950.26,1996.1
357.0000,2107.55,1985.91,1948.08,1922.31,1839.69,1957.06,1898.86,1973.9,1929.5,1947.81,1994.88
357.5000,2105.9,1984.7,1946.38,1920.67,1837.54,1954.93,1897.16,1972.69,1928.11,1946.3,1993.08
358.0000,2102.98,1982.35,1944.37,1917.94,1834.83,1952.78,1894.49,1969.7,1925.62,1943.77,1990.19
358.5000,2099.32,1979.25,1941.16,1914.66,1831.1,1949.4,1891.38,1966.56,1922.86,1940.82,1986.91
359.0000,2095.83,1976.09,1938.06,1910.98,1828.34,1946.07,1888.72,1963.53,1919.83,1937.29,1985.17
359.5000,2090.93,1971.86,1934.45,1907.48,1825.33,1941.65,1885.13,1959.6,1916.15,1933.68,1981.85
360.0000,2086.45,1967.59,1930.93,1903.67,1822.04,1937.65,1880.94,1955.69,1912.39,1930.48,1978.01
360.5000,2080.93,1962.08,1926.5,1899.22,1817.53,1933.15,1876.38,1951.27,1906.95,1925.87,1972.61
361.0000,2075.72,1957.38,1922.19,1894.47,1813.08,1928.72,1871.8,1946.85,1902.41,1921.18,1968.25
361.5000,2070.17,1951.13,1915.1,1889.08,1807.5,1922.62,1865.46,1940.74,1896.71,1915.02,1961.2
362.0000,2063.71,1944.73,1909.38,1883.01,1801.51,1916.07,1859.63,1935.29,1890.51,1908.88,1954.77
362.5000,2058.01,1938.64,1903.06,1876.65,1796.33,1909.6,1853.47,1929.57,1884.17,1903.37,1948.51
363.0000,2050.1,1931.48,1896.71,1869.45,1789.99,1901.93,1847.14,1922.21,1877.6,1896.43,1941.38
363.5000,2043.05,1924.65,1890.12,1862.52,1783.6,1895.12,1840.31,1915.45,1871.48,1889.85,1934.59
364.0000,2034.75,1916.63,1882.06,1854.55,1775.85,1887.31,1832.75,1907.45,1863.7,1882,1925.46
364.5000,2026.17,1909.09,1874.59,1846.64,1768.51,1879.98,1825.73,1899.83,1856.07,1874.95,1917.81
365.0000,2015.82,1898.65,1864.69,1837.04,1759.17,1870.34,1816.19,1890.76,1846.94,1865.63,1908.22
365.5000,2005.94,1889.47,1855.72,1828.59,1750.21,1860.48,1806.72,1880.96,1836.75,1856.26,1899.55
366.0000,1996.76,1879.94,1846.69,1819.86,1742.25,1851.78,1797.88,1872.25,1828.17,1847.61,1891.22
366.5000,1985.93,1869.6,1837.4,1810.09,1732.82,1841.15,1788.16,1862.57,1818.03,1837.52,1880.67
367.0000,1975.95,1859.65,1828.26,1800.56,1723.31,1831.36,1778.74,1852.66,1808.75,1827.79,1870.97
367.5000,1963.93,1847.26,1816.21,1788.52,1712.35,1819.71,1766.55,1840.76,1796.46,1815.96,1858.56
368.0000,1951.27,1835.24,1805.02,1777.29,1701.91,1808.6,1755.79,1829.11,1785.62,1805.12,1846.99
368.5000,1940.01,1824.22,1794.32,1766.62,1692.23,1798.51,1745.62,1818.52,1774.62,1794.34,1836.59
369.0000,1926.86,1812.67,1781.87,1754.87,1680.73,1786.78,1733.41,1806,1762.9,1782.74,1824.76
369.5000,1914.55,1801.44,1770.7,1743.97,1670.43,1775.23,1722.73,1794.75,1751.8,1771.1,1813.43
370.0000,1900.84,1788.1,1758.27,1731.55,1657.94,1761.97,1710.5,1780.93,1738.43,1758.72,1800.45
370.5000,1887.47,1776.54,1746.35,1719.22,1646.06,1749.43,1699.32,1768.9,1726.29,1746.37,1788.28
371.0000,1871.32,1762.03,1730.91,1704.49,1631.6,1734.67,1684.75,1753.76,1712.52,1731.79,1773
371.5000,1855.95,1748.07,1716.47,1691,1618.3,1720.79,1671.49,1739.66,1698.82,1717.92,1759.01
372.0000,1841.46,1735.13,1702.91,1678.52,1605.87,1706.89,1658.4,1726.79,1686.5,1704.81,1745.93
372.5000,1826.21,1720.35,1688.82,1663.98,1592.48,1692.14,1644.13,1712.13,1672.82,1690.2,1731.36
373.0000,1811.74,1706.49,1675.26,1650.23,1580.17,1678.76,1631.22,1698.41,1659.94,1676.94,1717.5
373.5000,1794.53,1689.36,1658.66,1634.7,1564.65,1662.37,1615.57,1681.35,1643.88,1660.53,1700.72
374.0000,1777.74,1673.21,1643.16,1619.21,1549.94,1646.87,1600.41,1665.27,1628.76,1645.15,1685.17
374.5000,1762.55,1658.89,1629.08,1605.24,1536.16,1632.75,1586.31,1650.68,1614.72,1630.7,1670.63
375.0000,1745,1642.62,1613.89,1589.6,1520.61,1617.21,1571.18,1634.6,1598.84,1615.16,1654.79
375.5000,1728.71,1627.37,1599.53,1574.95,1506.71,1602.71,1556.92,1619.89,1584.1,1600.36,1639.74
376.0000,1709.32,1609.09,1581.1,1557.8,1490.23,1584.75,1539.33,1602.1,1566.37,1582.16,1622.02
376.5000,1692.21,1592.63,1564.42,1541.14,1474.68,1567.88,1522.24,1584.98,1550.19,1565.14,1604.73
377.0000,1675.89,1577.22,1549.66,1525.91,1459.58,1552.23,1506.78,1569.24,1534.9,1550.6,1588.57
377.5000,1658.06,1560.06,1532.06,1509.25,1443.51,1535.34,1490,1551.89,1517.78,1533.2,1571.07
378.0000,1641.54,1544.31,1515.91,1493.83,1428.51,1519.92,1474.41,1536.09,1501.45,1517.12,1555.41
378.5000,1620.85,1525.04,1495.65,1475.14,1410.1,1500.48,1455.89,1516.66,1483.71,1498.55,1536.06
379.0000,1601.76,1506.94,1478.11,1457.98,1393.52,1482.16,1438.73,1499,1466.7,1480.39,1518.17
379.5000,1583.65,1490.77,1462.48,1442.23,1378.14,1466.34,1423.65,1482.66,1450.59,1464.3,1502.55
380.0000,1564.37,1472.99,1444.93,1424.71,1360.86,1448.76,1406.31,1464.21,1433.1,1446.27,1484.91
380.5000,1546.78,1457.05,1428.63,1408.87,1345.57,1433.06,1390.67,1447.58,1416.98,1430.1,1467.94
381.0000,1525.55,1436.68,1408.96,1389.87,1326.14,1413.65,1371.52,1427.4,1397.49,1411.15,1448.31
381.5000,1506.04,1418.62,1391.24,1371.86,1309.09,1395.57,1354.35,1409.15,1379.34,1393.08,1429.48
382.0000,1488.36,1402.09,1374.79,1355.47,1293.93,1378.79,1337.66,1392.85,1363.54,1376.57,1412.89
382.5000,1468.49,1383.61,1356.94,1338,1276.84,1360.92,1320.48,1374.52,1346.06,1358.74,1394.75
383.0000,1450.75,1366.58,1340.91,1322.06,1261.22,1344.29,1305.04,1357.68,1329.73,1342.29,1377.56
383.5000,1428.38,1346.44,1321.08,1302.49,1242.49,1324.54,1286.12,1338.11,1310.52,1322.41,1357.77
