XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
385.5000,1942.35,1750.08,1711.2,1821.49,1745.99,1795.92,1765.97,1779.75,1752.21,1737.93,1732.16
386.0000,1913.9,1724.45,1685.71,1795.28,1720.35,1769.26,1740.54,1752.82,1726.46,1712.3,1706.53
386.5000,1888.01,1700.63,1662.32,1770.83,1696.94,1745.35,1717.5,1728.6,1702.89,1689.23,1683.67
387.0000,1864.37,1679.08,1641.5,1748.36,1675.35,1723.37,1696.3,1706.47,1681.23,1668.19,1662.67
387.5000,1837.88,1655.08,1618.17,1724,1652.11,1699.6,1672.37,1682.72,1657.54,1645.12,1639.43
388.0000,1814.35,1633.63,1596.9,1701.98,1631.17,1677.45,1650.63,1661.34,1636.74,1624.54,1618.88
388.5000,1786.1,1608.2,1572.16,1676.43,1605.98,1651.88,1625.43,1635.25,1611.55,1599.86,1594.04
389.0000,1760.41,1585.3,1549.54,1652.33,1583.2,1627.82,1601.99,1611.87,1588.16,1576.92,1571.29
389.5000,1737.41,1563.41,1529.03,1630.5,1562.58,1606.07,1580.81,1590.64,1566.83,1556.14,1551.01
390.0000,1709.29,1537.35,1504.46,1603.96,1537.34,1580.99,1555.07,1565.35,1541.83,1530.75,1526.52
390.5000,1688.83,1518.79,1485.95,1583.39,1518.86,1561.89,1535.74,1546.45,1523.11,1511.75,1508.34
391.0000,1661.04,1493.89,1460.94,1557.25,1493.98,1536.37,1510.99,1520.75,1498.66,1486.88,1483.35
391.5000,1635.14,1471.56,1438.61,1533.45,1471.29,1513.01,1488.06,1497.16,1475.9,1463.86,1460.55
392.0000,1612.1,1451.05,1418.63,1511.57,1450.54,1492.22,1467.2,1476.07,1455.9,1443.64,1440.05
392.5000,1585.06,1426.03,1394.32,1485.63,1426.14,1467.4,1442.59,1451.32,1430.73,1419.31,1415.96
393.0000,1564.79,1407.74,1375.68,1466.91,1407.62,1448.43,1424.05,1432.71,1413.01,1401.36,1397.98
393.5000,1537.97,1383.87,1351.88,1442.02,1383.02,1423.95,1399.89,1407.72,1388.85,1377.3,1374.77
394.0000,1513.57,1361.76,1330.61,1418.91,1361.47,1401.19,1377.39,1385.62,1367.7,1355.39,1353.74
394.5000,1491.38,1341.64,1310.98,1398.31,1341.61,1380.94,1357.16,1365.49,1347.97,1335.53,1333.98
395.0000,1464.8,1317.44,1287.85,1373.78,1317.88,1356.84,1333.42,1342.67,1324.3,1311.87,1310.41
395.5000,1441.93,1295.94,1267.12,1351.53,1296.08,1335.05,1311.41,1320.53,1302.55,1290.48,1289.11
396.0000,1420.6,1276.48,1247.89,1330.88,1276.1,1314.99,1292.2,1300.38,1283.26,1270.86,1270
396.5000,1395.44,1254.02,1224.76,1306.7,1252.8,1290.89,1268.85,1277.19,1260.2,1248.04,1247.89
397.0000,1376.78,1237.04,1208.22,1288.79,1235.63,1273.11,1251.81,1259.77,1243.35,1231.11,1230.92
397.5000,1351.9,1214.76,1185.86,1265.46,1212.97,1249.82,1228.29,1237.39,1220.23,1208.56,1208.22
398.0000,1328.27,1194.1,1165.64,1244.69,1192.51,1228.61,1208.09,1216.65,1200.05,1187.97,1187.9
398.5000,1307.48,1175.7,1146.98,1225.24,1174.47,1209.46,1189.74,1197.65,1181.76,1169.82,1169.76
399.0000,1283.1,1153.91,1125.3,1202.2,1152.7,1186.65,1167.85,1175.32,1159.97,1148.22,1147.98
399.5000,1261.35,1133.52,1105.92,1181.25,1132.87,1166.28,1147.94,1154.62,1139.63,1128.07,1128.72
400.0000,1241.59,1115.59,1088.22,1162.63,1114.62,1148.14,1129.79,1136.68,1121.41,1111.05,1111.21
400.5000,1221.46,1097.83,1070.72,1143.91,1096.54,1130.12,1111.81,1118.94,1103.79,1093.84,1093.48
401.0000,1199.6,1078.19,1052.05,1123.87,1077.26,1110.26,1092.51,1099.15,1084.81,1074.5,1074.93
401.5000,1176.47,1057.23,1032.15,1102.81,1056.3,1088.92,1070.94,1078.29,1063.9,1053.63,1054.93
402.0000,1155.81,1038.24,1013.42,1083.28,1037.52,1069.7,1052.08,1059.21,1045.3,1035.4,1036.77
402.5000,1137.12,1021.48,996.793,1065.62,1020.71,1051.99,1034.64,1042.11,1028.21,1018.84,1020.14
403.0000,1114.86,1001.46,977.852,1044.17,1001.2,1032.18,1013.83,1021.71,1008.14,999.038,1000.58
403.5000,1094.46,983.34,960.06,1025.24,983.213,1013.71,995.361,1003.58,990.209,981.237,982.743
404.0000,1076.14,966.757,944.115,1008.27,967.102,996.979,979.094,987.474,973.814,965.518,966.489
404.5000,1058.64,950.662,928.253,991.58,951.386,980.665,962.65,971.472,957.521,949.407,950.701
405.0000,1039.47,933.311,911.329,973.876,933.869,962.495,945.624,953.998,939.973,932.136,934.062
405.5000,1018.3,914.424,893.66,954.611,915.123,943.046,926.665,935.263,920.931,913.746,915.6
