XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
372.5000,2674.74,2608.69,2570.25,2509.46,2463.18,2427.35,2390.43,2400.99,2357.58,2342.99,2315.3
373.0000,2656.84,2589.97,2551.93,2491.51,2445.12,2410.77,2372.9,2384.23,2341.23,2326.31,2298.85
373.5000,2633.23,2566.65,2528.82,2469.46,2422.96,2388.86,2351.07,2363.25,2320.78,2305.55,2278.84
374.0000,2610.67,2545.89,2507.23,2449,2402.33,2368.95,2331.59,2343.11,2301.51,2286.19,2259.05
374.5000,2590.55,2526.4,2487.93,2429.63,2383.83,2350.7,2314.39,2324.86,2283.88,2268.42,2241.81
375.0000,2567.28,2503.64,2465.74,2408.74,2362.58,2329.83,2293.89,2304.44,2263.53,2247.98,2222.34
375.5000,2546.16,2482.94,2444.97,2388.92,2342.7,2310.78,2274.29,2286.62,2245.45,2229.22,2204.29
376.0000,2519.66,2457,2419.49,2364.01,2318.83,2287.48,2251.4,2262.76,2222.93,2207.2,2181.48
376.5000,2495.41,2433.61,2396.18,2340.49,2296.07,2264.71,2229.69,2240.69,2201.87,2186.9,2161.31
377.0000,2473.13,2411.74,2373.99,2319.22,2275.48,2244.77,2209.58,2221.13,2183.13,2167.61,2142.36
377.5000,2448.35,2387.1,2350.06,2295.71,2253.15,2221.82,2187.79,2198.64,2162.02,2146.45,2121.17
378.0000,2425.27,2364.67,2328.15,2273.95,2232.79,2200.95,2166.97,2178.47,2142.33,2126.57,2102.54
378.5000,2398.03,2337.82,2301.01,2247.49,2207.5,2174.78,2141.76,2154.03,2117.82,2102.1,2079.02
379.0000,2372,2312.37,2276.06,2223.49,2183.61,2151.82,2118.75,2131.96,2095.53,2080.22,2056.82
